UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1718784600,2024-06-19 10:10:00+0200,21.0,0.0,2590.0,25.492,4.196,0.019,9.202,-77.0
1718784540,2024-06-19 10:09:00+0200,21.0,0.0,,,,,,
1718784480,2024-06-19 10:08:00+0200,22.0,0.0,,,,,,
1718784420,2024-06-19 10:07:00+0200,24.0,0.0,,,,,,
1718784360,2024-06-19 10:06:00+0200,21.0,0.0,,,,,,
1718784300,2024-06-19 10:05:00+0200,21.0,0.0,2590.0,25.902,4.192,0.018,9.194,-77.0
1718784240,2024-06-19 10:04:00+0200,22.0,0.0,,,,,,
1718784180,2024-06-19 10:03:00+0200,22.0,0.0,,,,,,
1718784120,2024-06-19 10:02:00+0200,22.0,0.0,,,,,,
1718784060,2024-06-19 10:01:00+0200,21.0,0.0,,,,,,
1718784000,2024-06-19 10:00:00+0200,21.0,0.0,2590.0,26.311,4.196,0.03,9.202,-77.0
1718783940,2024-06-19 09:59:00+0200,21.0,0.0,,,,,,
1718783880,2024-06-19 09:58:00+0200,52.0,18.0,,,,,,
1718783820,2024-06-19 09:57:00+0200,21.0,0.0,,,,,,
1718783760,2024-06-19 09:56:00+0200,20.0,0.0,,,,,,
1718783691,2024-06-19 09:54:51+0200,20.0,0.0,2590.0,27.131,4.196,0.089,9.202,-87.0
1718783631,2024-06-19 09:53:51+0200,20.0,0.0,,,,,,
1718783571,2024-06-19 09:52:51+0200,21.0,0.0,,,,,,
1718783511,2024-06-19 09:51:51+0200,21.0,0.0,,,,,,
1718783451,2024-06-19 09:50:51+0200,22.0,0.0,,,,,,
1718783400,2024-06-19 09:50:00+0200,21.0,0.0,2590.0,25.492,4.195,0.019,9.202,-85.0
1718783340,2024-06-19 09:49:00+0200,24.0,0.0,,,,,,
1718783280,2024-06-19 09:48:00+0200,22.0,0.0,,,,,,
1718783220,2024-06-19 09:47:00+0200,22.0,0.0,,,,,,
1718783160,2024-06-19 09:46:00+0200,21.0,0.0,,,,,,
1718783100,2024-06-19 09:45:00+0200,21.0,0.0,2590.0,25.902,4.196,0.035,9.202,-85.0
1718783040,2024-06-19 09:44:00+0200,21.0,0.0,,,,,,
1718782980,2024-06-19 09:43:00+0200,1028.0,346.0,,,,,,
1718782920,2024-06-19 09:42:00+0200,1483.0,493.0,,,,,,
1718782860,2024-06-19 09:41:00+0200,1483.0,493.0,,,,,,
1718782800,2024-06-19 09:40:00+0200,1482.0,492.0,2572.0,25.902,4.195,0.021,9.202,-79.0
1718782740,2024-06-19 09:39:00+0200,1482.0,481.0,,,,,,
1718782680,2024-06-19 09:38:00+0200,458.0,145.0,,,,,,
1718782620,2024-06-19 09:37:00+0200,22.0,0.0,,,,,,
1718782560,2024-06-19 09:36:00+0200,25.0,0.0,,,,,,
1718782500,2024-06-19 09:35:00+0200,1382.0,404.0,2549.0,25.902,4.175,0.039,9.164,-79.0
1718782440,2024-06-19 09:34:00+0200,1815.0,528.0,,,,,,
1718782380,2024-06-19 09:33:00+0200,1815.0,528.0,,,,,,
1718782320,2024-06-19 09:32:00+0200,1814.0,527.0,,,,,,
1718782260,2024-06-19 09:31:00+0200,1814.0,518.0,,,,,,
1718782200,2024-06-19 09:30:00+0200,504.0,143.0,2512.0,25.902,4.196,0.041,9.202,-79.0
1718782140,2024-06-19 09:29:00+0200,32.0,0.0,,,,,,
1718782080,2024-06-19 09:28:00+0200,32.0,0.0,,,,,,
1718782020,2024-06-19 09:27:00+0200,1602.0,421.0,,,,,,
