,CH4 ground truth count,CO2 ground truth count,CH4 Flow (ln/min),CH4 Flow (ln/min) STD,CH4 Flow (ln/min) STUNC,CH4 Pressure outlet (bar(a)),CH4 Pressure outlet (bar(a)) STD,CH4 Pressure outlet (bar(a)) STUNC,CH4 Temperature (°C),CH4 Temperature (°C) STD,CH4 Temperature (°C) STUNC,CO2 Flow (ln/min),CO2 Flow (ln/min) STD,CO2 Flow (ln/min) STUNC,CO2 Pressure outlet (bar(a)),CO2 Pressure outlet (bar(a)) STD,CO2 Pressure outlet (bar(a)) STUNC,CO2 Temperature (°C),CO2 Temperature (°C) STD,CO2 Temperature (°C) STUNC,Total vol. flow (ln/min),Total vol. flow (ln/min) COMB-UNC,CH4 Vol. fraction,CH4 Vol. fraction COMB-UNC,CO2 Vol. fraction,CO2 Vol. fraction COMB-UNC
2024-08-08 10:40:00,512,512,0.5101393148632817,1.3873848647804566e-05,6.131432787511513e-07,0.9893878485322896,6.0617642109376486e-05,2.6789466121924577e-06,24.751272755381674,0.009266402423558919,0.0004095209994313731,1.1900922146484392,1.7765864723872155e-05,7.851477137433044e-07,0.9922274025440319,7.417352011903266e-05,3.2780374412903006e-06,26.286500876712402,0.01671189237998097,0.0007385682767715208,1.7002315295117207,9.961935618513352e-07,0.30004108617476677,1.3371214857705476e-06,0.6999589138252333,8.823552480435125e-07
2024-08-08 10:41:00,964,964,0.5101374339419092,1.7312148221235822e-05,5.575867496971206e-07,0.9896771034439831,0.00011117295013588949,3.5806396253281183e-06,24.806275080912744,0.023657779880584328,0.0007619657838005326,1.1900899171161816,1.8604786942575465e-05,5.99219839591782e-07,0.9925940037240654,0.00012567896442355935,4.047846886631502e-06,26.37448039730284,0.03521597305918912,0.0011342301200614907,1.700227351058091,8.185153630801321e-07,0.30004071727492143,1.194335646657258e-06,0.6999592827250785,6.96621117024545e-07
2024-08-08 10:42:00,966,966,0.5101398498136651,3.0195062739648527e-05,9.71510218904639e-07,0.9900955260455492,0.0001079182110707879,3.472211525611772e-06,24.899392546583762,0.03033173258315053,0.0009759074990402404,1.1900916688405776,1.9342181135788357e-05,6.223244770625588e-07,0.9929703922670805,0.0001173071643366244,3.77429614524732e-06,26.506530533126213,0.0405991512698041,0.001306256280291771,1.7002315186542427,1.1537416782743557e-06,0.3000414027246407,2.0216844979042234e-06,0.6999585972753593,8.566892874953756e-07
2024-08-08 10:43:00,963,963,0.5101408293769477,2.523093596672392e-05,8.130555483935546e-07,0.9904999281723785,0.00012157988498957588,3.917857038446605e-06,25.011282227414185,0.034220097854866974,0.0011027272418337715,1.1900921181723776,2.2926952880437997e-05,7.388107310716665e-07,0.9933786204465199,0.00010750582242370689,3.464326710728699e-06,26.649666518172257,0.042528492299866764,0.0013704615110126245,1.7002329475493254,1.0985902881057134e-06,0.3000417267011867,1.7197829914053e-06,0.6999582732988133,8.960426869832658e-07
2024-08-08 10:44:00,963,963,0.510137334911735,3.182885996515546e-05,1.0256706777680156e-06,0.9908654273520264,0.00012124052645395148,3.906921362471365e-06,25.131739119418402,0.035950420101571706,0.0011584860969570028,1.1900927688473517,1.6391093539560076e-05,5.281956073351122e-07,0.9937453660020761,9.059548014538947e-05,2.9193985466386645e-06,26.797435502595924,0.04268104429633025,0.0013753774303945584,1.7002301037590866,1.1536858059459727e-06,0.3000401732588183,2.121991510264773e-06,0.6999598267411817,8.108073014577777e-07
2024-08-08 10:45:00,963,963,0.5101407975804784,4.064118780521441e-05,1.309643973648614e-06,0.9912498372689516,0.00010613742549038567,3.4202307358307056e-06,25.254237177570033,0.035645423873117525,0.0011486577308547372,1.1900931996884732,1.6471292039218768e-05,5.307799678680047e-07,0.9940716444029072,9.194810415175196e-05,2.9629862460689897e-06,26.943130933540907,0.041537051029663825,0.0013385127625909258,1.7002339972689515,1.4131152507860397e-06,0.30004152275504803,2.698406669195582e-06,0.699958477244952,9.432346749755084e-07
2024-08-08 10:46:00,965,965,0.564969344694302,0.13546355143920277,0.004360726013675195,0.9936496589740946,0.004325998769260222,0.00013925882769068312,25.376660372020623,0.03569997898559655,0.0011492229857860937,1.381352774196892,0.37069032555997916,0.011932943795679373,0.9964614597927447,0.004421964961041035,0.0001423480887095023,27.084778888082827,0.04021487220972249,0.001294562541129496,1.946322118891194,0.012704765995373011,0.2902753553539026,0.010108648295384966,0.7097246446460974,0.010827489681480357
2024-08-08 10:47:00,966,966,0.9000950740890262,4.3491080206901885e-05,1.3993025686522644e-06,1.004970494927536,8.922525319908282e-05,2.870775464673593e-06,25.494947701863254,0.03197197368425134,0.0010286813914122017,2.1000596440993804,2.473428158152256e-05,7.958124651339496e-07,1.0080171774327116,9.896056737072125e-05,3.1840040637840967e-06,27.205576232919107,0.029051508928422835,0.000934716978133713,3.0001547181884067,1.6097717721153514e-06,0.30001621870772505,1.6446069238083918e-06,0.6999837812922749,6.56887368051661e-07
2024-08-08 10:48:00,966,965,0.900075920610766,3.453701173862421e-05,1.1112101380218378e-06,1.0053346085921318,0.00010650752338449151,3.4268233932956793e-06,25.597917364389158,0.027982858179055888,0.0009003337038745459,2.100062937512952,2.620725688258587e-05,8.436414490893631e-07,1.0082699715025902,8.983169963698054e-05,2.8917847295288886e-06,27.30512704870452,0.029119645774918955,0.0009373945647415502,3.000138858123718,1.3951770014819312e-06,0.30001142052927243,1.3192544446561453e-06,0.6999885794707276,6.14524536544964e-07
2024-08-08 10:49:00,965,966,0.9000744360103627,3.961075433860917e-05,1.2751152987687179e-06,1.0056410414507782,8.05397478090554e-05,2.5926662166643004e-06,25.69238574507763,0.02652951094839647,0.0008540151745148594,2.1000638967908913,2.4234203979920806e-05,7.797227320411452e-07,1.0085631862318836,8.081468628960463e-05,2.600169910057203e-06,27.40554228778457,0.02953507769763231,0.0009502755482509814,3.000138332801254,1.4946192036822437e-06,0.30001097821711303,1.5017197387134205e-06,0.699989021782887,6.21320738706056e-07
