,CH4 ground truth count,CO2 ground truth count,CH4 Flow (ln/min),CH4 Flow (ln/min) STD,CH4 Flow (ln/min) STUNC,CH4 Pressure outlet (bar(a)),CH4 Pressure outlet (bar(a)) STD,CH4 Pressure outlet (bar(a)) STUNC,CH4 Temperature (°C),CH4 Temperature (°C) STD,CH4 Temperature (°C) STUNC,CO2 Flow (ln/min),CO2 Flow (ln/min) STD,CO2 Flow (ln/min) STUNC,CO2 Pressure outlet (bar(a)),CO2 Pressure outlet (bar(a)) STD,CO2 Pressure outlet (bar(a)) STUNC,CO2 Temperature (°C),CO2 Temperature (°C) STD,CO2 Temperature (°C) STUNC,Total vol. flow (ln/min),Total vol. flow (ln/min) COMB-UNC,CH4 Vol. fraction,CH4 Vol. fraction COMB-UNC,CO2 Vol. fraction,CO2 Vol. fraction COMB-UNC
2024-08-13 09:37:00,740,740,0.0035775437364864828,2.9235275906765486e-05,1.0747101163800395e-06,0.9850105644248974,9.436341486408329e-05,3.4688681199389098e-06,23.42319082814619,0.004014873720399405,0.0001475896932548904,1.7000554567567565,2.2998055345696016e-05,8.454253284939185e-07,0.9900955705818688,9.983727095706368e-05,3.670091071878733e-06,25.146440129905255,0.012219620836572884,0.00044920219577452756,1.703633000493243,1.3673864926598653e-06,0.0020999497752454297,0.0003004055384191325,0.9979000502247546,9.442005106482296e-07
2024-08-13 09:38:00,965,965,0.0035881832984455946,2.946397535858413e-05,9.484789262307776e-07,0.985363428704663,0.000104828129385473,3.374536884051086e-06,23.43842211191702,0.007343109838729459,0.00023638306950333614,1.7000566470466323,1.9390834022020343e-05,6.242130333090562e-07,0.9904497227564762,0.00011424059947919075,3.67753501716172e-06,25.202970256994753,0.02166387057572721,0.0006973846689592022,1.703644830345078,1.1354532947051506e-06,0.0021061803696013318,0.00026433486314104016,0.9978938196303986,7.609317477075286e-07
2024-08-13 09:39:00,971,971,0.003575700311431516,3.020487066241401e-05,9.693204281418706e-07,0.9858373476519061,0.0001931074269828169,6.1971122436648505e-06,23.472186293511772,0.011588277571386354,0.0003718855247707034,1.700054331410917,2.1931111732460527e-05,7.038028684754134e-07,0.9908794236045309,0.00018841432091199072,6.046503302586045e-06,25.28453663336757,0.025294327265901185,0.0008117335912136098,1.7036300317223487,1.1978817012073268e-06,0.002098871377500036,0.00027108638989464275,0.9979011286224999,8.159565578068648e-07
2024-08-13 09:40:00,971,971,0.003579840005973225,2.7528837068299022e-05,8.834424232942162e-07,0.9861974051596292,8.385799715135936e-05,2.691131195705607e-06,23.513520943357317,0.013327178876261841,0.00042768952327733545,1.7000577535530381,2.1147077379456303e-05,6.786420087178617e-07,0.9912709907106091,8.521716721079645e-05,2.7347490386242523e-06,25.368387086508633,0.02410327884678147,0.0007735110284864847,1.7036375935590113,1.1140132365787092e-06,0.002101291976361418,0.0002467835219242362,0.9978987080236386,7.66119774009898e-07
2024-08-13 09:41:00,973,973,0.003534578887461454,3.22958504813356e-05,1.035357432813521e-06,0.9864850246659822,8.477039473832364e-05,2.717614088707223e-06,23.560829013360625,0.01497065312559952,0.00047993710512810836,1.700054401747173,3.4335624804113404e-05,1.1007495954249582e-06,0.9915729597738951,7.853332538770371e-05,2.517662825158064e-06,25.452144491264058,0.024532989382342555,0.0007864915314994707,1.7035889806346345,1.5111633550051476e-06,0.002074783840257481,0.00029292377199234435,0.9979252161597425,1.0982173486112731e-06
2024-08-13 09:42:00,972,972,0.0035133609786008194,3.1323210512133826e-05,1.0046924456146544e-06,0.9867675447633747,9.428504769469248e-05,3.024194314838189e-06,23.615408737654235,0.016572829560634213,0.0005315737560036639,1.700057567798354,2.259205592287685e-05,7.246405315900016e-07,0.9918522030658425,9.248101172469208e-05,2.966329834121106e-06,25.537102072016303,0.024624252825709608,0.0007898232776398247,1.703570928776955,1.2387537327080776e-06,0.0020623508650286534,0.000285964266082467,0.9979376491349713,8.428721661710107e-07
2024-08-13 09:43:00,968,968,0.003518028583987606,2.9688922374486852e-05,9.542381062327577e-07,0.9870419530991744,7.860943683927978e-05,2.5266029933777426e-06,23.67393055991729,0.01697448474019046,0.0005455806030425566,1.7000596170454556,2.1806155709699465e-05,7.008763897244656e-07,0.9921157961776854,8.172184682607016e-05,2.6266396391728433e-06,25.619490005165193,0.02335862907323431,0.0007507747734956918,1.7035776456294431,1.1839755390462595e-06,0.002065082617756324,0.00027124317378903184,0.9979349173822437,8.080712547055604e-07
2024-08-13 09:44:00,967,967,0.003506217307859356,4.062468127831757e-05,1.3064016784135827e-06,0.9890702063908999,0.004531686604483543,0.00014572921681730005,23.73416244777656,0.01783658552978689,0.0005735859221551051,1.890840199586348,0.4597448681718725,0.014784398265355186,0.9942163974974143,0.004713633610988024,0.00015158023809796778,25.69926553257487,0.022868728955227572,0.0007354087453786388,1.8943464168942072,0.014784398323074321,0.0018508849683405958,0.007813374095870648,0.9981491150316595,0.011047446589856926
2024-08-13 09:45:00,967,967,0.0034966607979317484,3.59320657565328e-05,1.155497336498629e-06,1.0033143322647358,0.0001116106854516046,3.5891576798828537e-06,23.789840481902747,0.013441919469182077,0.00043226298897789,3.0000417323681488,5.6432412137216984e-05,1.8147440327694428e-06,1.0090152797311267,9.512616011503172e-05,3.0590510823685973e-06,25.757158788004027,0.009528091326961842,0.0003064027608325978,3.0035383931660804,2.151387923905804e-06,0.0011641804898807567,0.00033045814784551307,0.9988358195101192,9.375366858545721e-07
2024-08-13 09:46:00,966,966,0.003481982428053833,3.139168621950705e-05,1.010010948275116e-06,1.0035982003105592,6.186970221131709e-05,1.9906250388397485e-06,23.827025814699784,0.01020602890928848,0.00032837359754150783,3.0000386517598328,5.344238767128474e-05,1.7194806380429055e-06,1.009277928260871,7.553264893685044e-05,2.4302231439556525e-06,25.78916353105578,0.010382230384860408,0.00033404278709014984,3.0035206341878866,1.99417546375439e-06,0.001159300318572746,0.00029006855002138335,0.9988406996814272,8.771136953310957e-07
