,Air ground truth count,Air Flow (ln/min),Air Flow (ln/min) STD,Air Flow (ln/min) STUNC,Air Pressure outlet (bar(a)),Air Pressure outlet (bar(a)) STD,Air Pressure outlet (bar(a)) STUNC,Air Temperature (°C),Air Temperature (°C) STD,Air Temperature (°C) STUNC,Total vol. flow (ln/min),Total vol. flow (ln/min) COMB-UNC,Air Vol. fraction,Air Vol. fraction COMB-UNC
2024-08-15 14:59:50,10,0.0,0.0,0.0,0.9949041999999999,1.6288850993143327e-06,5.150986960542865e-07,23.64179775,0.0051622440453087315,0.0016324449020817043,0.0,0.0,0,0.0
2024-08-15 14:59:51,34,0.0,0.0,0.0,0.9949055670588235,2.8860131771844857e-06,4.94947176589776e-07,23.64136082352941,0.0026562165347377886,0.0004555373775396684,0.0,0.0,0,0.0
2024-08-15 14:59:52,31,0.0,0.0,0.0,0.994911924375,3.0859508934316868e-06,5.54253142254594e-07,23.6422859375,0.003889158066021509,0.000698513409077661,0.0,0.0,0,0.0
2024-08-15 14:59:53,33,0.0,0.0,0.0,0.99491221625,5.071311303132941e-06,8.828019842710178e-07,23.641211687500004,0.0026685744188927147,0.0004645391795841823,0.0,0.0,0,0.0
2024-08-15 14:59:54,32,0.0009550685,0.003820274,0.000675335412847664,0.994921211875,3.574174438476335e-06,6.318307456475593e-07,23.641700187499993,0.003213104443135763,0.0005680019851004808,0.0009550685,0.000675335412847664,1,0.9999999999999999
2024-08-15 14:59:55,32,1.6416712062499996,0.18280620292524163,0.03231587643285061,0.9965519949999999,0.0008714780057274211,0.0001540570018761971,23.6416998125,0.0021892263235756466,0.00038700419473810865,1.6416712062499996,0.03231587643285061,1,0.027838431080060507
2024-08-15 14:59:56,32,1.7000617499999997,0.00010093376045703316,1.7842736617456688e-05,0.998931880625,0.0005652637107459133,9.992545075677659e-05,23.6416998125,0.0038576633034137662,0.000681944970344593,1.7000617499999997,1.7842736617456688e-05,1,1.4842660929379944e-05
2024-08-15 14:59:57,32,1.70014618125,2.9235736550796144e-05,5.168196892012839e-06,1.0004280587499998,0.00033857777170345603,5.9852659582636124e-05,23.640527875000004,0.002935396551859905,0.0005189097018229369,1.70014618125,5.168196892012839e-06,1,4.2990033553028255e-06
2024-08-15 14:59:58,32,1.7001693999999998,1.6474343689526947e-05,2.9122800346155776e-06,1.001355625,0.0002213430414537667,3.912829139510338e-05,23.643848312500005,0.0035845085524380893,0.000633657576162537,1.7001693999999998,2.9122800346155776e-06,1,2.4224562107644903e-06
2024-08-15 14:59:59,32,1.7002146875000002,1.5419376338462278e-05,2.7257863926485185e-06,1.0019690625,0.00014856924704213697,2.6263580514818615e-05,23.643945812499997,0.0031702454209680117,0.0005604255087980205,1.7002146875000002,2.7257863926485185e-06,1,2.2672690178225326e-06
2024-08-15 15:00:00,32,1.700229825,1.3304209860037051e-05,2.3518742525902817e-06,1.0023724875,8.79928927054141e-05,1.555509278205465e-05,23.642285812499996,0.0031496285329918323,0.0005567809234742905,1.700229825,2.3518742525902817e-06,1,1.9562369840261224e-06
2024-08-15 15:00:01,32,1.7002303250000002,1.2819230346114011e-05,2.2661411768323976e-06,1.0026137,5.944975469533129e-05,1.0509331171236387e-05,23.641992750000004,0.0032212450284537994,0.0005694410508707837,1.7002303250000002,2.2661411768323976e-06,1,1.8849255535590466e-06
2024-08-15 15:00:02,34,1.7002080470588241,1.526462895252529e-05,2.6178622680834635e-06,1.0027838529411763,4.529768368312705e-05,7.768488661889198e-06,23.642372117647056,0.003822491773737987,0.0006555519309149437,1.7002080470588241,2.6178622680834635e-06,1,2.1775078234412894e-06
2024-08-15 15:00:03,31,1.7002040399999998,1.06815461694987e-05,1.9184623258857546e-06,1.0028795333333334,1.6828533026057078e-05,3.022493756812538e-06,23.641667333333334,0.00394716789368737,0.0007089322816961092,1.7002040399999998,1.9184623258857546e-06,1,1.5957587303283123e-06
2024-08-15 15:00:04,33,1.7001911941176473,1.5250920897923235e-05,2.6548445610762433e-06,1.0029272176470587,1.619707671520622e-05,2.8195491479177127e-06,23.64292341176471,0.002415541478086681,0.0004204917983690911,1.7001911941176473,2.6548445610762433e-06,1,2.2082911599921334e-06
2024-08-15 15:00:05,32,1.7001669437499998,1.6330420233424056e-05,2.8868377216700378e-06,1.0029620000000001,1.5892597857674045e-05,2.8094409289580285e-06,23.64462975,0.004381318774068074,0.0007745150539208665,1.7001669437499998,2.8868377216700378e-06,1,2.4012965746476353e-06
2024-08-15 15:00:06,32,1.7001644875,1.1491670896791627e-05,2.031459604571363e-06,1.0030033750000003,1.0285491399692253e-05,1.8182351791395765e-06,23.6439461875,0.0037360417952474563,0.0006604451220539598,1.7001644875,2.031459604571363e-06,1,1.6897881030454745e-06
2024-08-15 15:00:07,32,1.7001601875,1.5883319342452913e-05,2.807800703699977e-06,1.0030281812500002,4.842894279242789e-06,8.561108463555284e-07,23.6413093125,0.0034218246344854485,0.0006048988507689599,1.7001601875,2.807800703699977e-06,1,2.3355621810272673e-06
2024-08-15 15:00:08,32,1.70014901875,1.41061792015481e-05,2.493643742511825e-06,1.0030538999999998,1.6390159649419495e-05,2.8973982582086626e-06,23.645997000000005,0.0031233939232830784,0.0005521432558675799,1.70014901875,2.493643742511825e-06,1,2.074256292533607e-06
2024-08-15 15:00:09,32,1.70015995625,1.5273155917056455e-05,2.699938029767515e-06,1.00308855,7.492307165785154e-06,1.3244653009148111e-06,23.644336499999998,0.003369217713357578,0.0005955991731022442,1.70015995625,2.699938029767515e-06,1,2.2458410252680086e-06
2024-08-15 15:00:10,32,1.7001562687499998,1.2439545476690205e-05,2.199021740361522e-06,1.0031092625,8.114257000244874e-06,1.4344115372908908e-06,23.644043874999998,0.0034336745307812053,0.0006069936362757317,1.7001562687499998,2.199021740361522e-06,1,1.8291767800021244e-06
2024-08-15 15:00:11,32,1.7001608375,1.3943833762644973e-05,2.464944852326048e-06,1.0031181625,4.938133925526014e-06,8.729469962866974e-07,23.64375075,0.0030192093998267586,0.0005337258601099168,1.7001608375,2.464944852326048e-06,1,2.050369802534193e-06
2024-08-15 15:00:12,33,1.7001516647058819,1.428639830291109e-05,2.4869427286202224e-06,1.0031111117647058,4.911323949931138e-06,8.549517608430916e-07,23.645313411764704,0.0037468737478535464,0.0006522469991882858,1.7001516647058819,2.4869427286202224e-06,1,2.0686790529763156e-06
2024-08-15 15:00:13,33,1.7001476375,1.1767065621181052e-05,2.048383200812075e-06,1.0031235250000001,6.349855641383965e-06,1.1053679857091847e-06,23.646289937500004,0.003989085099263378,0.000694410583487571,1.7001476375,2.048383200812075e-06,1,1.703882203892218e-06
2024-08-15 15:00:14,32,1.7001491812499998,1.734109641862726e-05,3.0655017177052717e-06,1.0031212062500001,5.624762957952669e-06,9.943270075338088e-07,23.644434000000004,0.003826152601940471,0.000676374612671665,1.7001491812499998,3.0655017177052717e-06,1,2.5499374716455132e-06
2024-08-15 15:00:15,32,1.700149075,1.5964940755740386e-05,2.8222294674063777e-06,1.0031151062499999,9.619803792182743e-06,1.7005571237841207e-06,23.645997,0.004634378577544552,0.0008192501296918547,1.700149075,2.8222294674063777e-06,1,2.3475795432439334e-06
