date/yyyy-mm-dd,time_start/hh:mm:ss,time_end/hh:mm:ss,CH4 ground truth count,CO2 ground truth count,CH4 Flow (ln/min),CH4 Flow (ln/min) STD,CH4 Flow (ln/min) STUNC,CH4 Pressure outlet (bar(a)),CH4 Pressure outlet (bar(a)) STD,CH4 Pressure outlet (bar(a)) STUNC,CH4 Temperature (°C),CH4 Temperature (°C) STD,CH4 Temperature (°C) STUNC,CO2 Flow (ln/min),CO2 Flow (ln/min) STD,CO2 Flow (ln/min) STUNC,CO2 Pressure outlet (bar(a)),CO2 Pressure outlet (bar(a)) STD,CO2 Pressure outlet (bar(a)) STUNC,CO2 Temperature (°C),CO2 Temperature (°C) STD,CO2 Temperature (°C) STUNC,Total vol. flow (ln/min),Total vol. flow (ln/min) COMB-UNC,CH4 Vol. fraction,CH4 Vol. fraction COMB-UNC,CO2 Vol. fraction,CO2 Vol. fraction COMB-UNC,SBG count,Pressure SBG [Pa],Pressure SBG [Pa] STD,Pressure SBG [Pa] STUNC,Flow SBG [ln/min],Flow SBG [ln/min] STD,Flow SBG [ln/min] STUNC,SBG rel-err
2024-08-13,09:37:00,09:44:00,6786,6786,0.0035503677000294728,4.3946467675002914e-05,5.334786524377979e-07,0.986264333292072,0.0006740303068340446,8.182245327457656e-06,23.549435011788976,0.09472675668945724,0.001149915003003514,1.7000567915119364,2.3966596291857312e-05,2.909373191914887e-07,0.99134163122458,0.0006757291591953411,8.202868178766153e-06,25.41169414161509,0.16678030817868966,0.002024593528615656,1.703607159211966,6.076545040606371e-07,0.0020840295726813917,0.0001502605365308423,0.9979159704273186,3.956164963514187e-07,8,302.125,107.25994792359089,37.922118263243526,2.319203298966775,0.9503289153503701,0.3359920102009516,-0.3613486456816511
2024-08-13,09:46:00,09:52:00,5787,5787,0.003465937458285813,3.0778679079280705e-05,4.0459753844061963e-07,1.0042920784689824,0.00039258897393734703,5.160732598849765e-06,23.92996795541731,0.059173185243411086,0.0007778542097114076,3.000039194936927,6.105385874585347e-05,8.025763840366504e-07,1.009932420494211,0.0003611573058605597,4.747551269651281e-06,25.909602528598583,0.06943077781597491,0.0009126941973046339,3.003505132395213,8.987925346405329e-07,0.0011539642203047687,0.00011673576707362136,0.9988460357796952,4.013941881971181e-07,7,764.0,228.09866286324433,86.21319090321553,5.414521661418149,0.8239711254438239,0.31143181220319477,-0.8027342796981394
2024-08-13,09:53:00,09:59:00,5792,5792,0.003455619348014503,3.20647603847228e-05,4.213215975455123e-07,1.0407089437154697,0.010318536535994882,0.00013558255996662375,24.073881224792814,0.010566426242954721,0.00013883975840186199,4.85082821156768,0.525375493108333,0.006903280717267637,1.0475658452520717,0.010687988307898052,0.00014043704847321574,26.02898112310083,0.025098396904493305,0.000329785613638038,4.854283830915694,0.006903280730124705,0.0007118700653650588,0.0014273177438780457,0.999288129934635,0.0020118706591233586,7,1181.857142857143,460.4021534019393,174.01565728287738,6.8822681015417455,1.522367206473368,0.5754007189212359,-0.4177720836409147
2024-08-13,10:01:00,10:07:00,5791,5790,0.003490878792902781,3.370377047405767e-05,4.4289594705973683e-07,1.098197007805215,0.0002104214969560139,2.7651157975869456e-06,23.962498031600763,0.05135771157692785,0.0006748836105797814,7.000023474214162,0.00024414827720977555,3.2085911570676437e-06,1.1069533027115717,0.00019066693950059235,2.5057406221265647e-06,25.861875720552675,0.0564308530125792,0.0007416129985892685,7.0035143530070645,3.2390143613659116e-06,0.0004984467250222625,0.00012687317891199752,0.9995015532749778,6.511477447527435e-07,7,2167.8571428571427,895.2674513930514,338.3792904680886,9.106584871625959,2.685400769084697,1.0149860865056708,-0.3002878858548936
2024-08-13,10:09:00,10:15:00,5689,5689,0.5102216654209879,5.742082685230485e-05,7.612923664518478e-07,0.9912453287095639,0.00046851505304469675,6.211630047894257e-06,24.393151617967657,0.2623934523189197,0.003478844579705356,1.1900947904552646,1.8283037220908465e-05,2.423987503285827e-07,0.995305759757384,0.00025012986105198045,3.3162523822641648e-06,26.28723069602672,0.2098436946642665,0.0027821334462296413,1.7003164558762525,7.989513260385222e-07,0.30007453239523396,1.5643204351764013e-06,0.699925467604766,5.121293824577555e-07,7,1012.0,1188.6462888513133,449.2660681600603,5.250598089926681,3.7152119977205644,1.4042181448360114,-2.0880122766445868
2024-08-13,10:18:00,10:24:00,5783,5783,0.9000777893135052,5.52035042469588e-05,7.259221545266731e-07,1.0064359927200413,0.00033408704466230315,4.393220875540137e-06,25.3396500821373,0.10931884271763181,0.001437535006490419,2.1000506889849557,0.000129526070990078,1.703258621044373e-06,1.0099315540549887,0.00022526965887967012,2.9622799920790848e-06,27.060393005879302,0.10077845660900044,0.001325229536592484,3.000128478298461,1.8515001767741277e-06,0.3000130813810978,1.0155398916852152e-06,0.6999869186189022,1.0191535262087382e-06,7,518.7142857142857,141.99614347546472,53.66949753804664,4.241837649979192,0.8059989602534409,0.3046389722581768,-0.4138853321325001
2024-08-13,10:26:00,10:32:00,5790,5789,1.500042977478411,7.868107616807001e-05,1.034024929877027e-06,1.0395370426770294,0.00024307058013611795,3.194428086412165e-06,25.585828926252155,0.012018393972329356,0.000157945462742864,3.5000331120055277,0.00011199487736614665,1.4719612723376055e-06,1.043272432078079,0.00016790641619062287,2.2068129170013696e-06,27.24874945603731,0.011391959904427198,0.00014972581058790788,5.0000760894839384,1.7988545085328422e-06,0.3000040300653168,7.775649753170462e-07,0.6999959699346833,5.534427117218695e-07,7,1450.0,496.94902488417597,187.82907630279692,7.835546717292123,1.4457196278189872,0.5464306572476996,-0.5670854957130934
2024-08-13,10:34:00,10:39:00,4831,4830,2.1000338262471536,0.00014620553653479977,2.1035134832007084e-06,1.0854727043055268,0.00011789485524157474,1.6961971719971144e-06,25.492862890912857,0.03804382611184675,0.0005473506891427818,4.900028157556935,0.00021461138931551762,3.0880135736493756e-06,1.0898559317598344,8.145141851419903e-05,1.1719931862286125e-06,27.123286827536234,0.037010468996478314,0.0005325385152799562,7.000061983804089,3.7363882032050637e-06,0.3000021758530084,1.1349985658144532e-06,0.6999978241469915,8.258699684668036e-07,6,1992.6666666666667,536.1509737626769,218.88271846914836,9.31211981126526,1.3332513820201646,0.544297597468315,-0.3302910506807704
2024-08-08,11:28:00,11:33:00,4818,4818,0.8500893925363221,4.2338912918324216e-05,6.099669514326712e-07,0.9984555509630552,0.0002561040901233269,3.6896325468563024e-06,26.357347851598174,0.15608302450730513,0.002248652127955487,0.8501448193669572,2.1377620176708662e-05,3.079824423746366e-07,0.9999683965836448,0.00019192659406858586,2.765042166026041e-06,28.069703544416765,0.16521107917709954,0.002380157905871564,1.7002342119032794,6.833102272402432e-07,0.4999837002366359,8.224173133822835e-07,0.500016299763364,5.410702342347441e-07,6,854.0,846.1971401511588,345.4585358621205,5.016481604488868,3.015160493841243,1.2309341170848644,-1.9504650414446774
2024-08-08,11:35:00,11:40:00,4820,4820,1.5000443979668052,8.311591610189446e-05,1.1971833740107274e-06,1.01095214626556,0.00021876505458185257,3.151043728362078e-06,26.834559536099587,0.05752706291805733,0.0008286071610729381,1.5000772378008298,2.120097006030681e-05,3.053741095506015e-07,1.0122731611618256,0.00016243653729046599,2.339700154873068e-06,28.547149965352695,0.056887353160614516,0.0008193929224322415,3.000121635767635,1.235516644077097e-06,0.4999945269162368,8.9808625928492e-07,0.5000054730837632,4.59390003317449e-07,6,510.0,110.22703842524301,45.0,4.251504937528689,0.6818306821092782,0.2783562103569225,-0.4171108553873234
