,count,T (deg C),T (deg C) STD,T (deg C) STUNC,Vol. flow (ln/min),Vol. flow (ln/min) STD,Vol. flow (ln/min) STUNC
2024-08-15 14:59:40,78,23.638525641025637,0.08264738497430074,0.009357973593850787,-0.0005377469114489311,0.00035919947495568225,4.067133161691159e-05
2024-08-15 14:59:41,101,23.805742574257426,0.05123663795866138,0.0050982360270192895,-0.0005369402104116537,0.0003488149524388287,3.470838501779631e-05
2024-08-15 14:59:42,101,23.894257425742577,0.03514531361799105,0.0034970894111494683,-0.0005495247465931768,0.00038619743364973604,3.8428080924514206e-05
2024-08-15 14:59:43,101,23.942326732673273,0.036895557703032614,0.0036712452068056096,-0.0005327453650178127,0.0002851803868404799,2.837650908247489e-05
2024-08-15 14:59:44,101,23.993910891089115,0.03934846858771059,0.003915318962258157,-0.0005117711380486074,0.00031316087219892397,3.116067143565268e-05
2024-08-15 14:59:45,101,24.021435643564356,0.036037040900047355,0.003585819592066558,-0.0004866020656855613,0.0003248056625922979,3.231937138701339e-05
2024-08-15 14:59:46,101,24.05128712871288,0.03608083608611716,0.00359017737595572,-0.0005075762926547663,0.0002680909905516322,2.6676050595910887e-05
2024-08-15 14:59:47,100,24.072749999999996,0.03460728451372828,0.0034607284513728277,-0.0005041784678857551,0.0003443304294048933,3.4433042940489333e-05
2024-08-15 14:59:48,101,24.090297029702974,0.037442100516518875,0.0037256282493516924,-0.0005327453650178126,0.0003317356303025297,3.3008928946876886e-05
2024-08-15 14:59:49,101,24.10975247524753,0.03838864570171584,0.0038198130155002105,-0.00048660206568556125,0.0003760313320312358,3.7416516005528036e-05
2024-08-15 14:59:50,101,24.13326732673268,0.035358419390326065,0.0035182942280416445,-0.00048240722029172016,0.0003115106989451308,3.099647305987128e-05
2024-08-15 14:59:51,101,24.150594059405947,0.037631682985968806,0.003744492410123146,-0.0005285505196239716,0.000307895365290711,3.063673391575473e-05
2024-08-15 14:59:52,101,24.16559405940594,0.0361060045471172,0.0035926817314272594,-0.00048660206568556125,0.00036142676907505926,3.596330767671216e-05
2024-08-15 14:59:53,100,24.175649999999997,0.03380466018916703,0.0033804660189167028,-0.0005465464063635498,0.0003146127237577191,3.146127237577191e-05
2024-08-15 14:59:54,101,24.187970297029704,0.03335549593261789,0.0033189958950852827,-0.0003985103124148991,0.0004556150561975503,4.5335392533617676e-05
2024-08-15 14:59:55,101,24.18811881188119,0.03558687598784486,0.0035410265091296482,1.7352733043794375,0.5555826497797399,0.055282539876625285
2024-08-15 14:59:56,101,24.178960396039603,0.039200234895234824,0.003900569158572603,1.9364874533858105,0.0024526492991056286,0.0002440477267152564
2024-08-15 14:59:57,101,24.19128712871287,0.03486153657934872,0.0034688525404317906,1.935673653379405,0.0021645985112772066,0.00021538560205939972
2024-08-15 14:59:58,101,24.20579207920792,0.03569126415012017,0.0035514135194978087,1.9354764956458945,0.002246422624590505,0.00022352740563966853
2024-08-15 14:59:59,101,24.207623762376237,0.03364962153877757,0.0033482624867574766,1.935359039974867,0.0024544022834204187,0.0002442221551739635
2024-08-15 15:00:00,101,24.213366336633662,0.03311426362529503,0.0032949923833586413,1.935103154405843,0.0021106306134648796,0.00021001559551932797
2024-08-15 15:00:01,100,24.22485,0.03771540825978177,0.0037715408259781772,1.9351852475302005,0.002158044351546959,0.0002158044351546959
2024-08-15 15:00:02,101,24.231435643564364,0.039486305434057456,0.003929034241087796,1.9351492977051752,0.002453402801212218,0.0002441227029771522
2024-08-15 15:00:03,101,24.23782178217822,0.0325992012293566,0.0032437417594349013,1.9351660770867505,0.0021112620611304462,0.00021007842691041895
2024-08-15 15:00:04,101,24.24787128712872,0.03318393086008263,0.003301924532313917,1.9351367131689934,0.0020795060830478647,0.00020691858899005277
2024-08-15 15:00:05,100,24.255049999999997,0.035301693953118024,0.0035301693953118025,1.9349522238685728,0.002578885325672505,0.0002578885325672505
2024-08-15 15:00:06,102,24.263872549019606,0.0375216562071463,0.003715197570192139,1.9350559007062593,0.0021961894504911954,0.00021745515883151497
2024-08-15 15:00:07,100,24.263700000000004,0.03290343999700278,0.0032903439997002777,1.9350327229516804,0.0021378185441104044,0.00021378185441104045
2024-08-15 15:00:08,100,24.271050000000006,0.035592353905939844,0.0035592353905939842,1.9348632511977693,0.0021958908606423307,0.00021958908606423307
2024-08-15 15:00:09,102,24.27950980392157,0.03836710252803606,0.0037989092299269057,1.934860675891705,0.0021305599585057923,0.00021095687080789955
2024-08-15 15:00:10,101,24.282574257425736,0.037547395791094305,0.003736105520767285,1.9351912461591134,0.0021539147611722943,0.00021432252919086997
2024-08-15 15:00:11,100,24.29,0.035118845842842486,0.0035118845842842484,1.935100511653245,0.002285676318929852,0.0002285676318929852
2024-08-15 15:00:12,101,24.292425742574256,0.038069763995762854,0.003788083099830128,1.935103154405843,0.0018993424290975683,0.000188991635389586
2024-08-15 15:00:13,101,24.29693069306931,0.03508539793867021,0.003491127578229375,1.9352457791492337,0.002210726903357029,0.00021997554862380084
2024-08-15 15:00:14,100,24.308199999999996,0.03641456030244233,0.003641456030244233,1.935397087222589,0.0024838161159484707,0.0002483816115948471
2024-08-15 15:00:15,102,24.32200980392157,0.03711275169769858,0.003674709990657965,1.935367429665655,0.0022553370821091785,0.00022331164704345852
2024-08-15 15:00:16,101,24.3110396039604,0.03193209069011267,0.003177361779782027,2.360686998992592,0.656738362996215,0.06534790954188617
2024-08-15 15:00:17,101,24.314554455445545,0.033638512228552964,0.0033471570690743703,3.4259428176861624,0.0031858150413864293,0.0003170004447309873
