date/yyyy-mm-dd,time_start/hh:mm:ss,time_end/hh:mm:ss,CH4 ground truth count,CO2 ground truth count,CH4 Pressure outlet (bar(a)),CH4 Pressure outlet (bar(a)) STD,CH4 Pressure outlet (bar(a)) STUNC,CH4 Temperature (°C),CH4 Temperature (°C) STD,CH4 Temperature (°C) STUNC,CO2 Pressure outlet (bar(a)),CO2 Pressure outlet (bar(a)) STD,CO2 Pressure outlet (bar(a)) STUNC,CO2 Temperature (°C),CO2 Temperature (°C) STD,CO2 Temperature (°C) STUNC,CH4 Flow (ls/min),CH4 Flow (ls/min) STD,CH4 Flow (ls/min) STUNC,CO2 Flow (ls/min),CO2 Flow (ls/min) STD,CO2 Flow (ls/min) STUNC,Total vol. flow (ls/min),Total vol. flow (ls/min) COMB-UNC,CH4 Vol. fraction,CH4 Vol. fraction COMB-UNC,CO2 Vol. fraction,CO2 Vol. fraction COMB-UNC,SBG count,Flow SBG (ls/min),Flow SBG (ls/min) STD,Flow SBG (ls/min) STUNC,Pressure SBG (Pa),Pressure SBG (Pa) STD,Pressure SBG (Pa) STUNC,Temperature SBG (°C),AHT count,AHT Temp (deg C),AHT Temp (deg C) STD,AHT Temp (deg C) STUNC,AHT Humidity (%rH),AHT Humidity (%rH) STD,AHT Humidity (%rH) STUNC,SBG err,SBG rel-err
2024-08-23,13:20:00,13:23:00,2819,2822,1.005296647605534,8.842887778898004e-05,1.665507434659304e-06,23.256261281660162,0.035489736189245946,0.0006684289222615527,1.0047838420623671,0.00011109983173504314,2.0913893709458675e-06,25.095872452515945,0.07360617051254982,0.0013855931214468284,0.0028501730815439336,0.00019085041047266324,3.594558536731905e-06,1.7225755121282424,2.556684009219926e-05,4.812808154832929e-07,1.7254256852097865,3.626635120513846e-06,0.0016518666123817407,0.0012611737694427955,0.9983481333876182,2.1203667876146613e-06,4,2.671895986650693,1.9217711532266042,0.9608855766133021,962.25,720.6531181273461,360.3265590636731,25.492,88,22.845909090909092,0.012832821034978672,0.0013679833187603995,12.570227272727273,0.2464878690574376,0.0262756951280068,-0.9464703014409064,-0.548543069431489
2024-08-23,13:23:10,13:26:10,2829,2831,1.0274483658890068,0.00011689940899767863,2.1978388292290844e-06,23.39997364333687,0.03297739524892039,0.0006200116868542187,1.0275526646061464,0.00013123505054830372,2.4664931188510126e-06,25.322622486047333,0.04440650231361451,0.0008345966411500535,0.002825692820540138,0.00018893241054378576,3.5521393269082196e-06,3.039790218437257,4.8713823502753916e-05,9.15550456684137e-07,3.0426159112577973,3.6682320587038263e-06,0.0009287050692415577,0.0012570867345170589,0.9990712949307584,1.2426701235812689e-06,3,4.475739380455246,3.2417093745055,1.871601780005284,2564.3333333333335,3192.7469886186304,1843.3333333333335,25.492,88,22.87772727272727,0.01090473615624893,0.0011624487800905988,11.80215909090909,0.13234792933462938,0.014108336671162345,-1.4331234691974486,-0.4710168851398022
2024-08-23,13:26:20,13:29:20,2831,2828,1.1460255950194278,0.0042889464772720804,8.060847257736369e-05,23.446482139173433,0.024963115774322846,0.0004691685111957639,1.1492900291018386,0.0043416674700747886,8.164260530047721e-05,25.34657572701556,0.041999165755662614,0.0007897705976731138,0.002847964077237372,0.00018386512180371595,3.455647373402337e-06,7.0927647896162735,0.0002305066890328725,4.334548134223296e-06,7.095612753693511,5.543447149310718e-06,0.0004013697162031438,0.00121337488675263,0.9995986302837968,9.918781177671936e-07,3,7.942932106794454,1.2601683421702614,0.727558531576245,5829.666666666667,1471.0884858951665,849.3333333333334,,88,22.912159090909093,0.010553515907726893,0.001125008575798852,11.413522727272726,0.08500222813478946,0.009061267965080068,-0.8473193531009429,-0.11941454283280664
2024-08-23,13:30:00,13:33:00,2871,2868,1.0044650252525253,0.0002503273823935869,4.671880889645056e-06,23.606947877394635,0.14975796456485854,0.0027949454271952163,1.0035190105299858,0.00020227689221416348,3.7770844838293947e-06,25.554929575313807,0.13968931245038657,0.0026083964848269874,0.5168405629033803,0.00015018983905189516,2.80300553689404e-06,1.205839219446025,0.00022338061427212545,4.171150955108683e-06,1.7226797823494053,5.025469165178782e-06,0.30002126233728055,6.158163205065114e-06,0.6999787376627195,4.525024251654853e-06,4,3.4998074191340063,0.8246206154878264,0.4123103077439132,1168.25,452.36148892966855,226.18074446483428,25.492,88,22.94409090909091,0.017129417033269995,0.001826001991123579,11.016704545454546,0.06693145560359713,0.007134917140705322,-1.777127636784601,-1.0316064860068999
2024-08-23,13:33:30,13:36:30,2849,2850,1.0234474922428922,0.00018507326439743063,3.467348230831584e-06,24.21356798771499,0.13043460976105176,0.002443692852485665,1.0223062388421054,6.484662280610551e-05,1.2146885369837664e-06,26.02770193684211,0.09666280463226845,0.0018106602265255177,0.9120003614272297,2.4794871813096778e-05,4.645320067960642e-07,2.127877251204895,3.2276308425185715e-05,6.045906504252727e-07,3.0398776126321247,7.624433355467361e-07,0.3000121970823556,5.677588938382049e-07,0.6999878029176443,3.789941965792401e-07,3,4.405492349820299,3.3416950947158788,1.9293285624838648,2316.6666666666665,2925.7413305576647,1689.1775447766818,25.492,88,22.9725,0.010854312136382382,0.0011570735615120602,10.748522727272729,0.053660057551073614,0.005720181354786089,-1.365614737188174,-0.4492334597660777
2024-08-23,13:36:50,13:39:50,2848,2842,1.125013230372191,0.0004953422342745778,9.281867537170199e-06,24.554512690308993,0.03337298764900426,0.0006253527949849046,1.1249400939127374,0.00044586467748036665,8.363557191156801e-06,26.23741058374384,0.008115476798557468,0.00015223061562491747,2.127859433102554,6.369041425863302e-05,1.1934495943029826e-06,4.9649535679455665,0.00011482151519656398,2.1538290822870343e-06,7.092813001048121,2.4623772354875607e-06,0.3000021899334038,6.596190043911406e-07,0.6999978100665961,5.556182930976442e-07,3,6.8992619373609445,2.350877817594517,1.3572799408201144,4334.0,2372.0554378007273,1369.5068455469657,,88,23.019090909090906,0.018297438024065447,0.0019505134471015692,10.57340909090909,0.04680324096343441,0.0049892422505842336,0.19355106368717667,0.027288335905454604
2024-08-23,13:40:10,13:43:10,2855,2854,1.0060498120490369,0.006937973160080832,0.00012984629411181374,24.828986053239927,0.13733805197084245,0.0025703237354036987,1.003870400525578,0.007106980561820053,0.00013303261965703344,26.537765697266998,0.16814192806010045,0.003147378970499284,0.861323340551887,0.00023492695147092822,4.3967298995908105e-06,0.8613536145464952,0.0012333304262947531,2.308620040332553e-05,1.722676955098382,2.350114641613178e-05,0.49999121309583944,1.4565969358954153e-05,0.5000087869041606,3.0074407751308704e-05,3,3.045710542529523,0.6849223332911609,0.3954400934996384,922.6666666666666,348.5029889876604,201.20829450541493,,88,23.043409090909094,0.012492421945347483,0.0013316966538823157,10.300113636363635,0.05902452866669953,0.006292035897146301,-1.3230335874311407,-0.7680102665305477
2024-08-23,13:43:20,13:46:20,2849,2852,1.0213264162513163,0.0002734902950396719,5.123841597233854e-06,25.242027521937523,0.07850520993842226,0.001470795372185749,1.0191506832398318,0.0002530164854465085,4.737770923089417e-06,26.97905217882188,0.07636823504421254,0.0014300064393101435,1.5199103151589677,7.533973926434236e-05,1.4114902684623364e-06,1.519951173910966,2.8248258176101484e-05,5.289527912715828e-07,3.0398614890699336,1.5073472835938894e-06,0.499993279504322,1.0527581393562663e-06,0.5000067204956781,6.057938015714398e-07,3,4.967468594899881,2.7819844148959003,1.6061794508214917,2695.3333333333335,2213.773324740664,1278.1226249638353,25.492,88,23.06488636363636,0.00946795177231049,0.0010092870501384838,10.142272727272728,0.04542841464154695,0.004842685272238755,-1.927607105829947,-0.6341101766514078
2024-08-23,13:46:40,13:49:40,2854,2855,1.1097624872459706,0.00046695615890713775,8.740758546340232e-06,25.389454115627192,0.02017827195592262,0.0003777086985251284,1.1081737867250439,0.0004626633895021229,8.658887136334983e-06,27.094116876357266,0.028328024813687448,0.0005301676666506393,3.5464017878945078,8.14170891055929e-05,1.5240127019277166e-06,3.5464091687419703,6.37158654780588e-05,1.1924619507113218e-06,7.0928109566364785,1.935091785815668e-06,0.4999994796951795,5.090238203090739e-07,0.5000005203048205,4.3300550698286997e-07,3,6.753750231045696,1.9511027432251602,1.1264696940176635,3975.3333333333335,1760.9183210283586,1016.6666666666667,,88,23.117500000000003,0.023403015819019504,0.0024947698687483207,10.018068181818181,0.051054578741277494,0.00544243638043714,0.33906072559078293,0.047803434726190815
2024-08-23,13:50:00,13:53:00,2870,2869,1.0046645542857142,0.00013709688206611296,2.5590963039264317e-06,25.536311718815334,0.11088451027432675,0.0020698073955385866,1.0018643143604042,9.91740055914836e-05,1.851537789836873e-06,27.28460391321018,0.12964853161186782,0.0024204846244190374,1.2058260949765245,2.716825811958825e-05,5.071318026359605e-07,0.5169726917005342,2.6648760823986585e-05,4.975213759256757e-07,1.7227987866770587,7.10429577613275e-07,0.6999227677088901,5.890042058552319e-07,0.30007723229111,1.047002094705852e-06,4,3.08585170289235,0.6842051658170689,0.34210258290853446,935.5,334.59079485245854,167.29539742622927,25.492,88,23.14840909090909,0.010044311438197489,0.001070727196961278,9.67625,0.04208127057650873,0.004485878516032966,-1.3630529162152913,-0.791185207904838
