AutoRange,On
Start Time,2024-08-23 13:20:02.205890
Firmware Version,K-01.07.03-01.00-01.10-01.05
ResolutionEnum,SLOW
Serial Number,CN63230064
Stop Time,2024-08-23 16:19:47.024456
Model,EDU34450A
TriggerSource,Immediate
AutoImpedance,10 MΩ
Address,USB0::0x2A8D::0x8E01::CN63230064::0::INSTR
TriggerDelay,0.0
Range(VDC),0.1
Sample Count,11887

Time Stamp(s),Records,DC Voltage(VDC),
2024-08-23 13:21:41.296124,111,-0.068067461,
2024-08-23 13:21:42.156471,112,-0.068039004,
2024-08-23 13:21:43.038480,113,-0.0680410989,
2024-08-23 13:21:44.013763,114,-0.06804031,
2024-08-23 13:21:44.997496,115,-0.0680120779,
2024-08-23 13:21:45.981226,116,-0.068005885,
2024-08-23 13:21:46.957813,117,-0.0680366272,
2024-08-23 13:21:47.938755,118,-0.0679575274,
2024-08-23 13:21:48.815899,119,-0.067998936,
2024-08-23 13:21:49.675714,120,-0.0680100055,
2024-08-23 13:21:50.537300,121,-0.0680109842,
2024-08-23 13:21:51.397997,122,-0.0680016122,
2024-08-23 13:21:52.257269,123,-0.0680010622,
2024-08-23 13:21:53.110936,124,-0.0679888031,
2024-08-23 13:21:53.972212,125,-0.0680079567,
2024-08-23 13:21:54.842122,126,-0.0680146141,
2024-08-23 13:21:55.691849,127,-0.0679870915,
2024-08-23 13:21:56.554624,128,-0.0680046976,
2024-08-23 13:21:57.536813,129,-0.0680430848,
2024-08-23 13:21:58.513640,130,-0.0679902374,
2024-08-23 13:21:59.497153,131,-0.0679945879,
2024-08-23 13:22:00.477674,132,-0.0679966741,
2024-08-23 13:22:01.456871,133,-0.0679602759,
2024-08-23 13:22:02.355292,134,-0.0679715125,
2024-08-23 13:22:03.211460,135,-0.0680158433,
2024-08-23 13:22:04.076912,136,-0.0679749295,
2024-08-23 13:22:04.936307,137,-0.0679538369,
2024-08-23 13:22:05.794070,138,-0.0679124271,
2024-08-23 13:22:06.650742,139,-0.0678510227,
2024-08-23 13:22:07.512739,140,-0.06779391,
2024-08-23 13:22:08.371350,141,-0.0684951823,
2024-08-23 13:22:09.235085,142,-0.0683023445,
2024-08-23 13:22:10.094010,143,-0.0682288775,
2024-08-23 13:22:11.076546,144,-0.068235203,
2024-08-23 13:22:12.054911,145,-0.0681928463,
2024-08-23 13:22:13.033998,146,-0.0682029413,
2024-08-23 13:22:14.013063,147,-0.0681725042,
2024-08-23 13:22:14.991226,148,-0.0682017918,
2024-08-23 13:22:15.909414,149,-0.068200802,
2024-08-23 13:22:16.779994,150,-0.0681694444,
2024-08-23 13:22:17.635930,151,-0.0681518472,
2024-08-23 13:22:18.494229,152,-0.068167848,
2024-08-23 13:22:19.353545,153,-0.0681730836,
2024-08-23 13:22:20.217393,154,-0.0681812188,
2024-08-23 13:22:21.073798,155,-0.0681545914,
2024-08-23 13:22:21.932445,156,-0.0681707223,
2024-08-23 13:22:22.789927,157,-0.0681603094,
2024-08-23 13:22:23.660443,158,-0.0681689986,
2024-08-23 13:22:24.615062,159,-0.0681668725,
2024-08-23 13:22:25.591177,160,-0.0682249743,
2024-08-23 13:22:26.576619,161,-0.0681389123,
2024-08-23 13:22:27.557620,162,-0.0681562293,
2024-08-23 13:22:28.532285,163,-0.0681608605,
2024-08-23 13:22:29.450275,164,-0.0681790165,
2024-08-23 13:22:30.319534,165,-0.0681393766,
2024-08-23 13:22:31.176187,166,-0.0681721156,
2024-08-23 13:22:32.033317,167,-0.0681721219,
2024-08-23 13:22:32.893559,168,-0.0681725654,
2024-08-23 13:22:33.751799,169,-0.0681370119,
2024-08-23 13:22:34.614465,170,-0.0681636163,
2024-08-23 13:22:35.469406,171,-0.0681942227,
2024-08-23 13:22:36.330878,172,-0.0681785529,
2024-08-23 13:22:37.190982,173,-0.068193787,
2024-08-23 13:22:38.131495,174,-0.068171004,
2024-08-23 13:22:39.107454,175,-0.0681953631,
2024-08-23 13:22:40.091096,176,-0.0682335174,
2024-08-23 13:22:41.091006,177,-0.0682209155,
2024-08-23 13:22:42.074591,178,-0.0682084146,
2024-08-23 13:22:43.015659,179,-0.068180621,
2024-08-23 13:22:43.867914,180,-0.0681540708,
2024-08-23 13:22:44.731027,181,-0.0681962024,
2024-08-23 13:22:45.590813,182,-0.0681705213,
2024-08-23 13:22:46.448591,183,-0.0681911863,
2024-08-23 13:22:47.307957,184,-0.0681984699,
2024-08-23 13:22:48.172918,185,-0.0681795444,
2024-08-23 13:22:49.033129,186,-0.0682330924,
2024-08-23 13:22:49.889631,187,-0.0681899401,
2024-08-23 13:22:50.755311,188,-0.0681333191,
2024-08-23 13:22:51.673612,189,-0.0681339785,
2024-08-23 13:22:52.647147,190,-0.0681353104,
2024-08-23 13:22:53.634183,191,-0.0681799892,
2024-08-23 13:22:54.613096,192,-0.068066119,
2024-08-23 13:22:55.590124,193,-0.0681115234,
2024-08-23 13:22:56.547731,194,-0.0680807247,
2024-08-23 13:22:57.411682,195,-0.0680888079,
2024-08-23 13:22:58.268747,196,-0.0680519896,
2024-08-23 13:22:59.131968,197,-0.068067549,
2024-08-23 13:22:59.987498,198,-0.0680070608,
2024-08-23 13:23:00.853499,199,-0.0680383879,
2024-08-23 13:23:01.711330,200,-0.0680162357,
2024-08-23 13:23:02.587258,201,-0.0679751107,
2024-08-23 13:23:03.452648,202,-0.0678087647,
2024-08-23 13:23:04.309903,203,-0.0676257352,
2024-08-23 13:23:05.228577,204,-0.0675624398,
2024-08-23 13:23:06.211284,205,-0.0679619876,
2024-08-23 13:23:07.186223,206,-0.0679305822,
2024-08-23 13:23:08.177292,207,-0.0679083343,
2024-08-23 13:23:09.150167,208,-0.0678816733,
2024-08-23 13:23:10.110277,209,-0.0678721702,
2024-08-23 13:23:10.969792,210,-0.0678997459,
2024-08-23 13:23:11.826475,211,-0.0678665321,
2024-08-23 13:23:12.688498,212,-0.0678470995,
2024-08-23 13:23:13.559454,213,-0.0678196737,
2024-08-23 13:23:14.408581,214,-0.0678351431,
2024-08-23 13:23:15.267622,215,-0.0678433374,
2024-08-23 13:23:16.126249,216,-0.0678654007,
2024-08-23 13:23:16.985698,217,-0.0678907198,
2024-08-23 13:23:17.849396,218,-0.0678526635,
2024-08-23 13:23:18.751220,219,-0.0678176772,
2024-08-23 13:23:19.729959,220,-0.0678709912,
2024-08-23 13:23:20.702958,221,-0.067857739,
2024-08-23 13:23:21.685390,222,-0.0678933955,
2024-08-23 13:23:22.669438,223,-0.0678718744,
2024-08-23 13:23:23.647057,224,-0.0678982277,
2024-08-23 13:23:24.508076,225,-0.0678994186,
2024-08-23 13:23:25.367207,226,-0.0678746288,
2024-08-23 13:23:26.226649,227,-0.0679014182,
2024-08-23 13:23:27.085801,228,-0.0678894014,
2024-08-23 13:23:27.948547,229,-0.0679165555,
2024-08-23 13:23:28.807668,230,-0.067934967,
2024-08-23 13:23:29.666117,231,-0.0679209361,
2024-08-23 13:23:30.522681,232,-0.0679360016,
2024-08-23 13:23:31.396543,233,-0.0679491118,
2024-08-23 13:23:32.267978,234,-0.0679505082,
2024-08-23 13:23:33.250715,235,-0.0680195394,
2024-08-23 13:23:34.225534,236,-0.0679703119,
2024-08-23 13:23:35.204081,237,-0.0680048014,
2024-08-23 13:23:36.184415,238,-0.0679317041,
2024-08-23 13:23:37.165812,239,-0.0679618924,
2024-08-23 13:23:38.049267,240,-0.0679347062,
2024-08-23 13:23:38.907277,241,-0.0680213254,
2024-08-23 13:23:39.767115,242,-0.0679433278,
2024-08-23 13:23:40.625933,243,-0.067948229,
2024-08-23 13:23:41.486546,244,-0.0679491187,
2024-08-23 13:23:42.348990,245,-0.0679655348,
2024-08-23 13:23:43.208533,246,-0.0679931072,
2024-08-23 13:23:44.064674,247,-0.067979414,
2024-08-23 13:23:44.928486,248,-0.067959258,
2024-08-23 13:23:45.835936,249,-0.0679960813,
2024-08-23 13:23:46.822075,250,-0.067953132,
2024-08-23 13:23:47.808641,251,-0.0679256897,
2024-08-23 13:23:48.787302,252,-0.0680068121,
2024-08-23 13:23:49.766976,253,-0.0679818177,
2024-08-23 13:23:50.748773,254,-0.0679513186,
2024-08-23 13:23:51.629036,255,-0.0680291115,
2024-08-23 13:23:52.481055,256,-0.0679846427,
2024-08-23 13:23:53.344906,257,-0.0680095294,
2024-08-23 13:23:54.200796,258,-0.0680345236,
2024-08-23 13:23:55.061750,259,-0.0680290176,
2024-08-23 13:23:55.927806,260,-0.0680259752,
2024-08-23 13:23:56.783744,261,-0.0679628411,
2024-08-23 13:23:57.647436,262,-0.0679966897,
2024-08-23 13:23:58.502929,263,-0.0679678617,
2024-08-23 13:23:59.362404,264,-0.0680023422,
2024-08-23 13:24:00.345282,265,-0.0679745747,
2024-08-23 13:24:01.327261,266,-0.067997139,
2024-08-23 13:24:02.305689,267,-0.0680449878,
2024-08-23 13:24:03.287967,268,-0.0679911471,
2024-08-23 13:24:04.265999,269,-0.0679549808,
2024-08-23 13:24:05.163158,270,-0.0680492466,
2024-08-23 13:24:06.025794,271,-0.0679992039,
2024-08-23 13:24:06.881519,272,-0.068199372,
2024-08-23 13:24:07.742927,273,-0.0678709864,
2024-08-23 13:24:08.605250,274,-0.06787076,
2024-08-23 13:24:09.463726,275,-0.0678976252,
2024-08-23 13:24:10.329100,276,-0.0680003943,
2024-08-23 13:24:11.182752,277,-0.0679847233,
2024-08-23 13:24:12.038267,278,-0.0679448934,
2024-08-23 13:24:12.904262,279,-0.0680397133,
2024-08-23 13:24:13.862053,280,-0.0680314136,
2024-08-23 13:24:14.849166,281,-0.0679261695,
2024-08-23 13:24:15.824393,282,-0.0679868189,
2024-08-23 13:24:16.808630,283,-0.068010379,
2024-08-23 13:24:17.784207,284,-0.0680017524,
2024-08-23 13:24:18.706398,285,-0.0679618264,
2024-08-23 13:24:19.561852,286,-0.0679236871,
2024-08-23 13:24:20.425557,287,-0.0677698323,
2024-08-23 13:24:21.283918,288,-0.0676736123,
2024-08-23 13:24:22.144873,289,-0.0677178509,
2024-08-23 13:24:23.003535,290,-0.067795988,
2024-08-23 13:24:23.864063,291,-0.0681713436,
2024-08-23 13:24:24.719271,292,-0.0681961861,
2024-08-23 13:24:25.584581,293,-0.0681531594,
2024-08-23 13:24:26.441199,294,-0.0680895649,
2024-08-23 13:24:27.401272,295,-0.0680582027,
2024-08-23 13:24:28.377332,296,-0.0679942678,
2024-08-23 13:24:29.358946,297,-0.0679962349,
2024-08-23 13:24:30.347355,298,-0.0680513811,
2024-08-23 13:24:31.326152,299,-0.0680162537,
2024-08-23 13:24:32.263094,300,-0.0680203907,
2024-08-23 13:24:33.117715,301,-0.067970497,
2024-08-23 13:24:33.960353,302,-0.0679670259,
2024-08-23 13:24:34.823844,303,-0.0679795956,
2024-08-23 13:24:35.688348,304,-0.0678900702,
2024-08-23 13:24:36.541395,305,-0.0679271814,
2024-08-23 13:24:37.400873,306,-0.067963879,
2024-08-23 13:24:38.259339,307,-0.0680310201,
2024-08-23 13:24:39.117365,308,-0.0688986879,
2024-08-23 13:24:39.977530,309,-0.0683026393,
2024-08-23 13:24:40.917377,310,-0.0682482995,
2024-08-23 13:24:47.759865,311,-0.0682892761,
2024-08-23 13:24:48.620192,312,-0.0683137841,
2024-08-23 13:24:49.473974,313,-0.0682733268,
2024-08-23 13:24:50.314095,314,-0.0682359276,
2024-08-23 13:24:51.156703,315,-0.0682524289,
2024-08-23 13:24:52.018592,316,-0.0682871921,
2024-08-23 13:24:52.874968,317,-0.0682572448,
2024-08-23 13:24:53.736616,318,-0.0682734755,
2024-08-23 13:24:54.699496,319,-0.068259365,
2024-08-23 13:24:55.678878,320,-0.0682185327,
2024-08-23 13:24:56.656305,321,-0.0682791833,
2024-08-23 13:24:57.636405,322,-0.068272011,
2024-08-23 13:24:58.619496,323,-0.0682865164,
2024-08-23 13:24:59.556296,324,-0.0682416879,
2024-08-23 13:25:00.420607,325,-0.0682921161,
2024-08-23 13:25:01.281653,326,-0.0682631521,
2024-08-23 13:25:02.140029,327,-0.068254086,
2024-08-23 13:25:02.994611,328,-0.068269124,
2024-08-23 13:25:03.858518,329,-0.0682340708,
2024-08-23 13:25:04.719073,330,-0.0682728518,
2024-08-23 13:25:05.575836,331,-0.068273232,
2024-08-23 13:25:06.435294,332,-0.0682799064,
2024-08-23 13:25:07.292795,333,-0.0682501188,
2024-08-23 13:25:08.215417,334,-0.0682828979,
2024-08-23 13:25:09.199528,335,-0.0682187844,
2024-08-23 13:25:10.182052,336,-0.0682529914,
2024-08-23 13:25:11.157030,337,-0.0683027568,
2024-08-23 13:25:12.136743,338,-0.0682187265,
2024-08-23 13:25:13.079371,339,-0.0682376841,
2024-08-23 13:25:13.935888,340,-0.0682556814,
2024-08-23 13:25:14.793735,341,-0.0682455264,
2024-08-23 13:25:15.659909,342,-0.0682872925,
2024-08-23 13:25:16.518596,343,-0.0682644209,
2024-08-23 13:25:17.377790,344,-0.0682191984,
2024-08-23 13:25:18.236538,345,-0.0682851874,
2024-08-23 13:25:19.093572,346,-0.0682350656,
2024-08-23 13:25:19.957826,347,-0.0682725474,
2024-08-23 13:25:20.811880,348,-0.0682824562,
2024-08-23 13:25:21.718697,349,-0.0682993458,
2024-08-23 13:25:22.696009,350,-0.0682809691,
2024-08-23 13:25:23.676191,351,-0.0682606974,
2024-08-23 13:25:24.651558,352,-0.0682544858,
2024-08-23 13:25:25.633674,353,-0.0682547308,
2024-08-23 13:25:26.604454,354,-0.0682758098,
2024-08-23 13:25:27.455764,355,-0.0682810373,
2024-08-23 13:25:28.318446,356,-0.0682733298,
2024-08-23 13:25:29.178927,357,-0.0682753591,
2024-08-23 13:25:30.035179,358,-0.0683127669,
2024-08-23 13:25:30.896483,359,-0.0682715717,
2024-08-23 13:25:31.757586,360,-0.0683342463,
2024-08-23 13:25:32.611271,361,-0.0683636175,
2024-08-23 13:25:33.474824,362,-0.0683891209,
2024-08-23 13:25:34.345224,363,-0.0683493003,
2024-08-23 13:25:35.233885,364,-0.0683114177,
2024-08-23 13:25:36.212754,365,-0.0682977508,
2024-08-23 13:25:37.200507,366,-0.0683306437,
2024-08-23 13:25:38.177478,367,-0.0682787907,
2024-08-23 13:25:39.159354,368,-0.068303009,
2024-08-23 13:25:40.148816,369,-0.0683582546,
2024-08-23 13:25:41.010580,370,-0.0682523523,
2024-08-23 13:25:41.854619,371,-0.0683074952,
2024-08-23 13:25:42.715971,372,-0.0683196425,
2024-08-23 13:25:43.573367,373,-0.0682668428,
2024-08-23 13:25:44.431480,374,-0.0683011939,
2024-08-23 13:25:45.303050,375,-0.068287814,
2024-08-23 13:25:46.150043,376,-0.0682573526,
2024-08-23 13:25:47.015968,377,-0.0682751258,
2024-08-23 13:25:47.874990,378,-0.0682948702,
2024-08-23 13:25:48.749496,379,-0.0682322838,
2024-08-23 13:25:49.735397,380,-0.0682742277,
2024-08-23 13:25:50.709307,381,-0.0682372561,
2024-08-23 13:25:51.671858,382,-0.0682545016,
2024-08-23 13:25:52.655854,383,-0.0682473929,
2024-08-23 13:25:53.632488,384,-0.0682202779,
2024-08-23 13:25:54.513156,385,-0.0682335717,
2024-08-23 13:25:55.385711,386,-0.0682559223,
2024-08-23 13:25:56.230165,387,-0.0682207933,
2024-08-23 13:25:57.106782,388,-0.0682981132,
2024-08-23 13:25:57.973720,389,-0.0682536543,
2024-08-23 13:25:58.829217,390,-0.0683228467,
2024-08-23 13:25:59.699474,391,-0.0682433038,
2024-08-23 13:26:00.553716,392,-0.0682205836,
2024-08-23 13:26:01.411548,393,-0.0682103445,
