UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1717060200,2024-05-30 11:10:00+0200,33.0,0.0,615.0,24.672,4.195,0.019,9.202,-87.0
1717060140,2024-05-30 11:09:00+0200,33.0,0.0,,,,,,
1717060080,2024-05-30 11:08:00+0200,33.0,0.0,,,,,,
1717060020,2024-05-30 11:07:00+0200,33.0,0.0,,,,,,
1717059960,2024-05-30 11:06:00+0200,34.0,0.0,,,,,,
1717059900,2024-05-30 11:05:00+0200,35.0,0.0,,,,,,
1717059840,2024-05-30 11:04:00+0200,34.0,0.0,,,,,,
1717059780,2024-05-30 11:03:00+0200,35.0,0.0,,,,,,
1717059720,2024-05-30 11:02:00+0200,34.0,0.0,,,,,,
1717059660,2024-05-30 11:01:00+0200,35.0,0.0,,,,,,
1717059600,2024-05-30 11:00:00+0200,36.0,0.0,615.0,24.672,4.195,0.02,9.202,-87.0
1717059540,2024-05-30 10:59:00+0200,36.0,0.0,,,,,,
1717059480,2024-05-30 10:58:00+0200,36.0,0.0,,,,,,
1717059420,2024-05-30 10:57:00+0200,35.0,0.0,,,,,,
1717059360,2024-05-30 10:56:00+0200,35.0,0.0,,,,,,
1717059300,2024-05-30 10:55:00+0200,35.0,0.0,,,,,,
1717059240,2024-05-30 10:54:00+0200,35.0,0.0,,,,,,
1717059180,2024-05-30 10:53:00+0200,35.0,0.0,,,,,,
1717059120,2024-05-30 10:52:00+0200,40.0,5.0,,,,,,
1717059060,2024-05-30 10:51:00+0200,44.0,3.0,,,,,,
1717059000,2024-05-30 10:50:00+0200,34.0,0.0,615.0,24.672,4.2,0.02,9.21,-87.0
1717058940,2024-05-30 10:49:00+0200,35.0,0.0,,,,,,
1717058880,2024-05-30 10:48:00+0200,34.0,0.0,,,,,,
1717058820,2024-05-30 10:47:00+0200,32.0,0.0,,,,,,
1717058760,2024-05-30 10:46:00+0200,457.0,214.0,,,,,,
1717058700,2024-05-30 10:45:00+0200,564.0,262.0,,,,,,
1717058640,2024-05-30 10:44:00+0200,562.0,258.0,,,,,,
1717058580,2024-05-30 10:43:00+0200,729.0,307.0,,,,,,
1717058520,2024-05-30 10:42:00+0200,741.0,313.0,,,,,,
1717058460,2024-05-30 10:41:00+0200,739.0,309.0,,,,,,
1717058400,2024-05-30 10:40:00+0200,826.0,335.0,588.0,24.672,4.2,0.042,9.21,-87.0
1717058340,2024-05-30 10:39:00+0200,826.0,338.0,,,,,,
1717058280,2024-05-30 10:38:00+0200,822.0,335.0,,,,,,
1717058220,2024-05-30 10:37:00+0200,993.0,370.0,,,,,,
1717058160,2024-05-30 10:36:00+0200,1027.0,375.0,,,,,,
1717058100,2024-05-30 10:35:00+0200,1025.0,388.0,,,,,,
1717058040,2024-05-30 10:34:00+0200,549.0,244.0,,,,,,
1717057980,2024-05-30 10:33:00+0200,398.0,210.0,,,,,,
1717057937,2024-05-30 10:32:17+0200,,,546.0,25.082,4.193,0.064,9.196,-87.0
1717057800,2024-05-30 10:30:00+0200,441.0,289.0,536.0,23.852,4.197,0.05,9.21,-81.0
1717057740,2024-05-30 10:29:00+0200,464.0,297.0,,,,,,
1717057680,2024-05-30 10:28:00+0200,483.0,302.0,,,,,,
1717057620,2024-05-30 10:27:00+0200,483.0,299.0,,,,,,
1717057560,2024-05-30 10:26:00+0200,505.0,304.0,,,,,,
1717057500,2024-05-30 10:25:00+0200,526.0,314.0,,,,,,
1717057440,2024-05-30 10:24:00+0200,527.0,312.0,,,,,,
1717057380,2024-05-30 10:23:00+0200,430.0,270.0,,,,,,
1717057320,2024-05-30 10:22:00+0200,182.0,175.0,,,,,,
1717057260,2024-05-30 10:21:00+0200,182.0,172.0,,,,,,
1717057200,2024-05-30 10:20:00+0200,193.0,176.0,489.0,23.852,4.198,0.051,9.21,-81.0
1717057140,2024-05-30 10:19:00+0200,203.0,179.0,,,,,,
1717057080,2024-05-30 10:18:00+0200,203.0,176.0,,,,,,
1717057020,2024-05-30 10:17:00+0200,219.0,178.0,,,,,,
1717056960,2024-05-30 10:16:00+0200,234.0,182.0,,,,,,
1717056900,2024-05-30 10:15:00+0200,234.0,180.0,,,,,,
1717056840,2024-05-30 10:14:00+0200,241.0,183.0,,,,,,
1717056780,2024-05-30 10:13:00+0200,245.0,184.0,,,,,,
1717056720,2024-05-30 10:12:00+0200,245.0,185.0,,,,,,
1717056660,2024-05-30 10:11:00+0200,195.0,146.0,,,,,,
1717056600,2024-05-30 10:10:00+0200,38.0,0.0,459.0,23.852,4.193,0.051,9.205,-81.0
1717056540,2024-05-30 10:09:00+0200,42.0,0.0,,,,,,
1717056480,2024-05-30 10:08:00+0200,43.0,0.0,,,,,,
1717056420,2024-05-30 10:07:00+0200,45.0,0.0,,,,,,
1717056360,2024-05-30 10:06:00+0200,47.0,0.0,,,,,,
1717056300,2024-05-30 10:05:00+0200,47.0,0.0,,,,,,
1717056240,2024-05-30 10:04:00+0200,47.0,0.0,,,,,,
1717056180,2024-05-30 10:03:00+0200,48.0,0.0,,,,,,
1717056120,2024-05-30 10:02:00+0200,48.0,0.0,,,,,,
1717056060,2024-05-30 10:01:00+0200,47.0,0.0,,,,,,
1717056000,2024-05-30 10:00:00+0200,47.0,0.0,457.0,23.852,4.197,0.076,9.207,-81.0
1717055940,2024-05-30 09:59:00+0200,39.0,0.0,,,,,,
1717055880,2024-05-30 09:58:00+0200,24.0,0.0,,,,,,
1717055820,2024-05-30 09:57:00+0200,41.0,16.0,,,,,,
1717055760,2024-05-30 09:56:00+0200,47.0,17.0,,,,,,
1717055700,2024-05-30 09:55:00+0200,33.0,0.0,,,,,,
1717055640,2024-05-30 09:54:00+0200,51.0,44.0,,,,,,
1717055574,2024-05-30 09:52:54+0200,,,457.0,23.852,4.18,0.078,9.173,-81.0
