UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1716898800,2024-05-28 14:20:00+0200,46.0,0.0,457.0,24.262,4.184,0.059,9.186,-77.0
1716898740,2024-05-28 14:19:00+0200,46.0,0.0,,,,,,
1716898680,2024-05-28 14:18:00+0200,46.0,2.0,,,,,,
1716898620,2024-05-28 14:17:00+0200,46.0,0.0,,,,,,
1716898560,2024-05-28 14:16:00+0200,46.0,0.0,,,,,,
1716898500,2024-05-28 14:15:00+0200,45.0,0.0,,,,,,
1716898440,2024-05-28 14:14:00+0200,45.0,0.0,,,,,,
1716898380,2024-05-28 14:13:00+0200,45.0,0.0,,,,,,
1716898320,2024-05-28 14:12:00+0200,45.0,0.0,,,,,,
1716898260,2024-05-28 14:11:00+0200,44.0,0.0,,,,,,
1716898200,2024-05-28 14:10:00+0200,41.0,0.0,457.0,23.852,4.198,0.049,9.21,-77.0
1716898140,2024-05-28 14:09:00+0200,44.0,0.0,,,,,,
1716898080,2024-05-28 14:08:00+0200,42.0,4.0,,,,,,
1716898020,2024-05-28 14:07:00+0200,41.0,0.0,,,,,,
1716897960,2024-05-28 14:06:00+0200,40.0,0.0,,,,,,
1716897900,2024-05-28 14:05:00+0200,464.0,204.0,,,,,,
1716897840,2024-05-28 14:04:00+0200,951.0,436.0,,,,,,
1716897780,2024-05-28 14:03:00+0200,953.0,445.0,,,,,,
1716897720,2024-05-28 14:02:00+0200,703.0,386.0,,,,,,
1716897660,2024-05-28 14:01:00+0200,535.0,325.0,,,,,,
1716897600,2024-05-28 14:00:00+0200,535.0,322.0,431.0,23.852,4.196,0.053,9.207,-77.0
1716897540,2024-05-28 13:59:00+0200,642.0,352.0,,,,,,
1716897480,2024-05-28 13:58:00+0200,711.0,373.0,,,,,,
1716897420,2024-05-28 13:57:00+0200,711.0,371.0,,,,,,
1716897360,2024-05-28 13:56:00+0200,762.0,384.0,,,,,,
1716897300,2024-05-28 13:55:00+0200,795.0,397.0,,,,,,
1716897240,2024-05-28 13:54:00+0200,795.0,394.0,,,,,,
1716897180,2024-05-28 13:53:00+0200,975.0,430.0,,,,,,
1716897120,2024-05-28 13:52:00+0200,1198.0,477.0,,,,,,
1716897060,2024-05-28 13:51:00+0200,1199.0,482.0,,,,,,
1716897000,2024-05-28 13:50:00+0200,822.0,390.0,366.0,23.852,4.194,0.052,9.207,-71.0
1716896940,2024-05-28 13:49:00+0200,379.0,269.0,,,,,,
1716896880,2024-05-28 13:48:00+0200,378.0,270.0,,,,,,
1716896820,2024-05-28 13:47:00+0200,408.0,281.0,,,,,,
1716896760,2024-05-28 13:46:00+0200,424.0,285.0,,,,,,
1716896700,2024-05-28 13:45:00+0200,424.0,286.0,,,,,,
1716896640,2024-05-28 13:44:00+0200,454.0,294.0,,,,,,
1716896580,2024-05-28 13:43:00+0200,470.0,300.0,,,,,,
1716896520,2024-05-28 13:42:00+0200,472.0,297.0,,,,,,
1716896460,2024-05-28 13:41:00+0200,499.0,304.0,,,,,,
1716896400,2024-05-28 13:40:00+0200,514.0,310.0,315.0,23.852,4.197,0.054,9.213,-71.0
1716896340,2024-05-28 13:39:00+0200,515.0,303.0,,,,,,
1716896280,2024-05-28 13:38:00+0200,373.0,248.0,,,,,,
1716896220,2024-05-28 13:37:00+0200,173.0,173.0,,,,,,
1716896160,2024-05-28 13:36:00+0200,172.0,171.0,,,,,,
1716896100,2024-05-28 13:35:00+0200,187.0,175.0,,,,,,
1716896040,2024-05-28 13:34:00+0200,194.0,174.0,,,,,,
1716895980,2024-05-28 13:33:00+0200,194.0,173.0,,,,,,
1716895920,2024-05-28 13:32:00+0200,209.0,176.0,,,,,,
1716895860,2024-05-28 13:31:00+0200,215.0,177.0,,,,,,
1716895800,2024-05-28 13:30:00+0200,214.0,177.0,278.0,23.852,4.197,0.057,9.21,-71.0
1716895740,2024-05-28 13:29:00+0200,229.0,178.0,,,,,,
1716895680,2024-05-28 13:28:00+0200,234.0,182.0,,,,,,
1716895620,2024-05-28 13:27:00+0200,235.0,180.0,,,,,,
1716895560,2024-05-28 13:26:00+0200,143.0,103.0,,,,,,
1716895500,2024-05-28 13:25:00+0200,38.0,0.0,,,,,,
1716895440,2024-05-28 13:24:00+0200,38.0,0.0,,,,,,
1716895380,2024-05-28 13:23:00+0200,38.0,0.0,,,,,,
1716895320,2024-05-28 13:22:00+0200,40.0,0.0,,,,,,
1716895260,2024-05-28 13:21:00+0200,40.0,0.0,,,,,,
1716895200,2024-05-28 13:20:00+0200,42.0,0.0,262.0,24.262,4.199,0.075,9.213,-71.0
1716895140,2024-05-28 13:19:00+0200,45.0,0.0,,,,,,
1716895080,2024-05-28 13:18:00+0200,47.0,0.0,,,,,,
1716895020,2024-05-28 13:17:00+0200,44.0,0.0,,,,,,
1716894960,2024-05-28 13:16:00+0200,39.0,0.0,,,,,,
1716894900,2024-05-28 13:15:00+0200,39.0,0.0,,,,,,
1716894840,2024-05-28 13:14:00+0200,34.0,0.0,,,,,,
1716894780,2024-05-28 13:13:00+0200,35.0,31.0,,,,,,
1716894720,2024-05-28 13:12:00+0200,46.0,51.0,,,,,,
1716894664,2024-05-28 13:11:04+0200,39.0,0.0,262.0,24.672,4.191,0.06,9.194,-71.0
