UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1719208800,2024-06-24 08:00:00+0200,57.0,0.0,3471.0,24.262,4.199,0.024,9.207,-83.0
1719208740,2024-06-24 07:59:00+0200,57.0,0.0,,,,,,
1719208680,2024-06-24 07:58:00+0200,57.0,0.0,,,,,,
1719208620,2024-06-24 07:57:00+0200,53.0,0.0,,,,,,
1719208560,2024-06-24 07:56:00+0200,47.0,0.0,,,,,,
1719208500,2024-06-24 07:55:00+0200,47.0,0.0,,24.262,4.199,0.024,9.21,-83.0
1719208200,2024-06-24 07:50:00+0200,47.0,0.0,3471.0,24.672,4.197,0.024,9.205,-83.0
1719208140,2024-06-24 07:49:00+0200,47.0,0.0,,,,,,
1719208080,2024-06-24 07:48:00+0200,47.0,0.0,,,,,,
1719208020,2024-06-24 07:47:00+0200,47.0,0.0,,,,,,
1719207960,2024-06-24 07:46:00+0200,46.0,0.0,,,,,,
1719207900,2024-06-24 07:45:00+0200,47.0,0.0,3471.0,24.672,4.199,0.102,9.21,-83.0
1719207840,2024-06-24 07:44:00+0200,61.0,13.0,,,,,,
1719207789,2024-06-24 07:43:09+0200,,,3471.0,23.443,4.151,0.082,8.903,-83.0
