TimeStamp,123M04971901FD: Flow (ln/min),123M04971901FD: Pressure outlet (bar(a)),123M04971901FD: Temperature (°C),123M05180215PI: Flow (ln/min),123M05180215PI: Pressure outlet (bar(a)),123M05180215PI: Temperature (°C)
2024-07-26 15:19:37.628,0,1.0992873,25.445312,,,
2024-07-26 15:19:37.634,,,,6.99984,1.1053648,27.301563
2024-07-26 15:19:37.692,0,1.0992843,25.453125,,,
2024-07-26 15:19:37.697,,,,7.000004,1.1053668,27.29375
2024-07-26 15:19:37.751,0,1.0992823,25.454689,,,
2024-07-26 15:19:37.761,,,,7.0002112,1.1053611,27.301563
2024-07-26 15:19:37.819,,,,7.0000424,1.1053512,27.303125
2024-07-26 15:19:37.824,0,1.0992794,25.456251,,,
2024-07-26 15:19:37.884,,,,6.999795,1.1053565,27.303125
2024-07-26 15:19:37.886,0,1.0992893,25.451563,,,
2024-07-26 15:19:37.946,,,,6.999813,1.1053511,27.301563
2024-07-26 15:19:37.950,0,1.0992973,25.454689,,,
2024-07-26 15:19:38.001,0,1.0992938,25.460938,,,
2024-07-26 15:19:38.009,,,,7.000247,1.1053541,27.300001
2024-07-26 15:19:38.069,,,,6.9999995,1.105355,27.295313
2024-07-26 15:19:38.071,0,1.099287,25.462502,,,
2024-07-26 15:19:38.128,0,1.0992815,25.451563,,,
2024-07-26 15:19:38.135,,,,7.0002637,1.1053503,27.295313
2024-07-26 15:19:38.194,,,,7.0003386,1.1053292,27.304688
2024-07-26 15:19:38.196,0,1.099275,25.456251,,,
2024-07-26 15:19:38.257,,,,7.000092,1.1053255,27.303125
2024-07-26 15:19:38.262,0,1.0992736,25.453125,,,
2024-07-26 15:19:38.312,0,1.0992709,25.456251,,,
2024-07-26 15:19:38.322,,,,6.9997964,1.1053293,27.301563
2024-07-26 15:19:38.382,,,,7.00001,1.1053329,27.300001
2024-07-26 15:19:38.386,0,1.0992798,25.451563,,,
2024-07-26 15:19:38.443,,,,6.999979,1.1053342,27.301563
2024-07-26 15:19:38.446,0,1.0992813,25.457813,,,
2024-07-26 15:19:38.507,,,,6.999918,1.1053448,27.306252
2024-07-26 15:19:38.509,0,1.099286,25.454689,,,
2024-07-26 15:19:38.562,0,1.0992868,25.459375,,,
2024-07-26 15:19:38.570,,,,7.0000753,1.1053385,27.298439
2024-07-26 15:19:38.630,,,,6.999928,1.1053346,27.303125
2024-07-26 15:19:38.635,0,1.0992899,25.454689,,,
2024-07-26 15:19:38.697,,,,6.9999256,1.1053212,27.295313
2024-07-26 15:19:38.699,0,1.099285,25.454689,,,
2024-07-26 15:19:38.762,,,,6.999951,1.1053162,27.301563
2024-07-26 15:19:38.764,0,1.0992898,25.457813,,,
2024-07-26 15:19:38.821,,,,6.999776,1.1053169,27.298439
2024-07-26 15:19:38.823,0,1.0992937,25.456251,,,
2024-07-26 15:19:38.879,,,,7.000057,1.1053243,27.296875
2024-07-26 15:19:38.881,0,1.0992993,25.456251,,,
2024-07-26 15:19:38.942,,,,6.999849,1.1053355,27.301563
2024-07-26 15:19:38.945,0,1.0993146,25.453125,,,
2024-07-26 15:19:39.004,,,,6.9997582,1.1053375,27.306252
2024-07-26 15:19:39.006,0,1.0993217,25.453125,,,
2024-07-26 15:19:39.065,,,,7.0000134,1.1053344,27.304688
2024-07-26 15:19:39.067,0,1.0993152,25.45,,,
2024-07-26 15:19:39.129,,,,7.000259,1.1053288,27.304688
2024-07-26 15:19:39.131,0,1.0993109,25.456251,,,
2024-07-26 15:19:39.185,0,1.0993178,25.451563,,,
2024-07-26 15:19:39.192,,,,6.9998736,1.1053352,27.298439
2024-07-26 15:19:39.252,,,,6.9995933,1.105337,27.303125
2024-07-26 15:19:39.254,0,1.0993301,25.459375,,,
2024-07-26 15:19:39.316,,,,7.000107,1.1053388,27.298439
2024-07-26 15:19:39.318,0,1.0993266,25.451563,,,
2024-07-26 15:19:39.379,,,,7.0001054,1.105347,27.301563
2024-07-26 15:19:39.381,0,1.0993243,25.453125,,,
2024-07-26 15:19:39.434,0,1.0993267,25.454689,,,
2024-07-26 15:19:39.440,,,,7.0000873,1.1053501,27.301563
2024-07-26 15:19:39.497,0,1.0993183,25.453125,,,
