TimeStamp,123M04971901FD: Flow (ln/min),123M04971901FD: Pressure outlet (bar(a)),123M04971901FD: Temperature (°C),123M05180215PI: Flow (ln/min),123M05180215PI: Pressure outlet (bar(a)),123M05180215PI: Temperature (°C)
2024-08-19 09:42:52.064,,,,0,,
2024-08-19 09:42:52.067,5.0001273,,,,,
2024-08-19 09:42:52.125,,,,0,1.0247455,25.898438
2024-08-19 09:42:52.127,4.9998975,1.0215064,24.4375,,,
2024-08-19 09:42:52.197,,,,0,1.024751,25.898438
2024-08-19 09:42:52.202,4.9998536,1.0215024,24.434376,,,
2024-08-19 09:42:52.246,4.9998655,1.0215055,24.425001,,,
2024-08-19 09:42:52.254,,,,0,1.0247564,25.895313
2024-08-19 09:42:52.314,,,,0,1.0247539,25.893751
2024-08-19 09:42:52.317,4.9998364,1.0215096,24.431252,,,
2024-08-19 09:42:52.377,,,,0,1.0247538,25.900002
2024-08-19 09:42:52.379,4.9998813,1.0215129,24.431252,,,
2024-08-19 09:42:52.438,,,,0,1.0247523,25.898438
2024-08-19 09:42:52.441,4.9999223,1.0215143,24.435938,,,
2024-08-19 09:42:52.502,,,,0,1.024753,25.900002
2024-08-19 09:42:52.504,4.9998703,1.0215136,24.429688,,,
2024-08-19 09:42:52.563,,,,0,1.0247564,25.896875
2024-08-19 09:42:52.567,4.99989,1.0215195,24.428125,,,
2024-08-19 09:42:52.629,,,,0,1.0247562,25.896875
2024-08-19 09:42:52.632,4.99989,1.0215218,24.431252,,,
2024-08-19 09:42:52.690,,,,0,1.0247577,25.903126
2024-08-19 09:42:52.692,4.99992,1.021525,24.429688,,,
2024-08-19 09:42:52.744,4.999922,1.0215284,24.429688,,,
2024-08-19 09:42:52.751,,,,0,1.024757,25.892189
2024-08-19 09:42:52.813,5.000025,1.0215294,24.428125,,,
2024-08-19 09:42:52.820,,,,0,1.0247594,25.896875
2024-08-19 09:42:52.866,,,,0,1.0247546,25.892189
2024-08-19 09:42:52.870,5.0001707,1.0215256,24.428125,,,
2024-08-19 09:42:52.915,5.00019,1.021518,24.428125,,,
2024-08-19 09:42:52.922,,,,0,1.0247487,25.895313
2024-08-19 09:42:52.977,5.000235,1.0215228,24.431252,,,
2024-08-19 09:42:52.985,,,,0,1.0247486,25.895313
2024-08-19 09:42:53.040,5.00018,1.0215199,24.434376,,,
2024-08-19 09:42:53.048,,,,0,1.0247446,25.895313
2024-08-19 09:42:53.110,,,,0,1.0247437,25.896875
2024-08-19 09:42:53.112,5.0002074,1.0215192,24.434376,,,
2024-08-19 09:42:53.167,5.000103,1.0215193,24.431252,,,
2024-08-19 09:42:53.175,,,,0,1.0247416,25.896875
2024-08-19 09:42:53.235,,,,0,1.0247375,25.901564
2024-08-19 09:42:53.237,4.9999847,1.0215207,24.432814,,,
2024-08-19 09:42:53.297,4.9998546,1.0215185,24.431252,,,
2024-08-19 09:42:53.305,,,,0,1.0247421,25.895313
2024-08-19 09:42:53.363,,,,0,1.0247433,25.898438
2024-08-19 09:42:53.367,4.99984,1.0215235,24.426563,,,
2024-08-19 09:42:53.420,4.9999323,1.0215194,24.431252,,,
2024-08-19 09:42:53.427,,,,0,1.0247508,25.893751
2024-08-19 09:42:53.483,,,,0,1.0247502,25.895313
2024-08-19 09:42:53.485,5.000067,1.0215185,24.431252,,,
2024-08-19 09:42:53.541,5.000142,1.021513,24.425001,,,
2024-08-19 09:42:53.548,,,,0,1.0247484,25.901564
2024-08-19 09:42:53.610,,,,0,1.0247483,25.903126
2024-08-19 09:42:53.612,5.00021,1.0215151,24.426563,,,
2024-08-19 09:42:53.664,5.0000615,1.0215164,24.426563,,,
2024-08-19 09:42:53.673,,,,0,1.0247451,25.896875
2024-08-19 09:42:53.733,,,,0,1.0247453,25.895313
2024-08-19 09:42:53.735,4.9998264,1.0215163,24.429688,,,
2024-08-19 09:42:53.780,,,,0,1.0247434,25.896875
2024-08-19 09:42:53.782,4.999852,1.0215284,24.423439,,,
2024-08-19 09:42:53.851,4.9998474,1.0215261,24.425001,,,
2024-08-19 09:42:53.858,,,,0,1.0247471,25.895313
2024-08-19 09:42:53.898,4.999873,1.0215329,24.429688,,,
2024-08-19 09:42:53.906,,,,0,1.0247533,25.896875
2024-08-19 09:42:53.968,,,,0,1.0247557,25.893751
2024-08-19 09:42:53.971,4.9998417,1.0215329,24.428125,,,
2024-08-19 09:42:54.029,,,,0,1.0247552,25.892189
2024-08-19 09:42:54.031,4.9998984,1.0215318,24.426563,,,
2024-08-19 09:42:54.097,5.000057,1.0215297,24.425001,,,
2024-08-19 09:42:54.106,,,,0,1.0247537,25.893751
2024-08-19 09:42:54.149,5.0000257,1.0215288,24.429688,,,
2024-08-19 09:42:54.157,,,,0,1.0247523,25.893751
2024-08-19 09:42:54.218,,,,0,1.0247499,25.901564
2024-08-19 09:42:54.220,4.999916,1.0215298,24.429688,,,
2024-08-19 09:42:54.280,,,,0,1.0247538,25.904688
2024-08-19 09:42:54.285,4.999995,1.0215309,24.426563,,,
2024-08-19 09:42:54.342,5.0000906,1.0215324,24.432814,,,
2024-08-19 09:42:54.352,,,,0,1.0247518,25.900002
2024-08-19 09:42:54.403,5.0001807,1.0215348,24.425001,,,
2024-08-19 09:42:54.412,,,,0,1.0247507,25.893751
2024-08-19 09:42:54.465,5.0001464,1.0215318,24.428125,,,
2024-08-19 09:42:54.475,,,,0,1.0247487,25.896875
2024-08-19 09:42:54.524,4.9999423,1.0215307,24.435938,,,
2024-08-19 09:42:54.530,,,,0,1.0247504,25.893751
2024-08-19 09:42:54.588,4.999835,1.0215365,24.428125,,,
2024-08-19 09:42:54.598,,,,0,1.024751,25.895313
2024-08-19 09:42:54.655,,,,0,1.0247554,25.895313
2024-08-19 09:42:54.658,4.999866,1.0215385,24.420313,,,
2024-08-19 09:42:54.713,5.0000143,1.021532,24.428125,,,
2024-08-19 09:42:54.722,,,,0,1.024758,25.898438
2024-08-19 09:42:54.776,5.0000153,1.0215311,24.426563,,,
2024-08-19 09:42:54.783,,,,0,1.0247625,25.893751
2024-08-19 09:42:54.843,,,,0,1.0247631,25.896875
2024-08-19 09:42:54.845,4.9999533,1.0215279,24.431252,,,
2024-08-19 09:42:54.899,4.999908,1.0215288,24.431252,,,
2024-08-19 09:42:54.906,,,,0,1.024768,25.896875
2024-08-19 09:42:54.969,,,,0,1.0247613,25.896875
2024-08-19 09:42:54.971,4.99987,1.0215291,24.431252,,,
2024-08-19 09:42:55.028,,,,0,1.024768,25.904688
2024-08-19 09:42:55.030,5.000083,1.0215378,24.425001,,,
2024-08-19 09:42:55.086,4.99996,1.0215391,24.423439,,,
2024-08-19 09:42:55.094,,,,0,1.024772,25.901564
2024-08-19 09:42:55.148,4.9998555,1.0215406,24.429688,,,
2024-08-19 09:42:55.155,,,,0,1.0247724,25.895313
2024-08-19 09:42:55.333,,,,0,1.0247735,25.890625
2024-08-19 09:42:55.335,4.99989,1.0215346,24.425001,,,
2024-08-19 09:42:55.386,4.9999,1.0215318,24.429688,,,
2024-08-19 09:42:55.395,,,,0,1.0247724,25.895313
2024-08-19 09:42:55.449,4.9999127,1.0215352,24.434376,,,
2024-08-19 09:42:55.456,,,,0,1.0247723,25.898438
2024-08-19 09:42:55.516,,,,0,1.0247762,25.898438
2024-08-19 09:42:55.518,4.999918,1.0215429,24.426563,,,
2024-08-19 09:42:55.580,,,,0,1.0247825,25.900002
2024-08-19 09:42:55.582,4.999917,1.0215496,24.429688,,,
2024-08-19 09:42:55.642,,,,0,1.0247854,25.892189
2024-08-19 09:42:55.644,4.9999146,1.0215468,24.428125,,,
2024-08-19 09:42:55.697,4.999843,1.0215465,24.423439,,,
2024-08-19 09:42:55.705,,,,0,1.0247872,25.892189
2024-08-19 09:42:55.761,4.9997926,1.0215443,24.428125,,,
2024-08-19 09:42:55.769,,,,0,1.0247926,25.895313
2024-08-19 09:42:55.829,,,,0,1.0247989,25.896875
2024-08-19 09:42:55.831,4.9999604,1.0215415,24.426563,,,
2024-08-19 09:42:55.885,,,,0,1.0248004,25.892189
2024-08-19 09:42:55.887,4.999955,1.0215447,24.425001,,,
2024-08-19 09:42:55.940,,,,0,1.0248003,25.895313
2024-08-19 09:42:55.942,4.9999056,1.0215532,24.428125,,,
2024-08-19 09:42:55.995,4.9999843,1.0215513,24.423439,,,
2024-08-19 09:42:56.004,,,,0,1.024799,25.900002
2024-08-19 09:42:56.062,,,,0,1.0247984,25.898438
2024-08-19 09:42:56.065,5.000068,1.0215559,24.431252,,,
2024-08-19 09:42:56.123,5.000094,1.0215555,24.423439,,,
2024-08-19 09:42:56.133,,,,0,1.0247949,25.895313
2024-08-19 09:42:56.186,,,,0,1.024796,25.896875
2024-08-19 09:42:56.188,4.9999843,1.0215632,24.429688,,,
2024-08-19 09:42:56.244,5.000064,1.0215611,24.429688,,,
2024-08-19 09:42:56.251,,,,0,1.024791,25.896875
2024-08-19 09:42:56.307,5.000151,1.0215555,24.428125,,,
2024-08-19 09:42:56.316,,,,0,1.0247884,25.892189
2024-08-19 09:42:56.370,5.00005,1.0215497,24.426563,,,
2024-08-19 09:42:56.377,,,,0,1.0247853,25.896875
2024-08-19 09:42:56.433,4.999985,1.0215513,24.423439,,,
2024-08-19 09:42:56.443,,,,0,1.0247831,25.896875
2024-08-19 09:42:56.502,,,,0,1.0247849,25.896875
2024-08-19 09:42:56.504,5.000107,1.0215499,24.429688,,,
2024-08-19 09:42:56.562,,,,0,1.0247837,25.889063
2024-08-19 09:42:56.566,5.000079,1.0215503,24.426563,,,
2024-08-19 09:42:56.621,5.0000095,1.0215485,24.420313,,,
2024-08-19 09:42:56.629,,,,0,1.024782,25.892189
2024-08-19 09:42:56.689,,,,0,1.0247856,25.892189
2024-08-19 09:42:56.691,4.999975,1.0215497,24.429688,,,
2024-08-19 09:42:56.745,4.99992,1.021555,24.431252,,,
2024-08-19 09:42:56.753,,,,0,1.0247849,25.895313
2024-08-19 09:42:56.808,4.99988,1.0215559,24.426563,,,
2024-08-19 09:42:56.815,,,,0,1.0247833,25.900002
2024-08-19 09:42:56.877,,,,0,1.0247886,25.893751
2024-08-19 09:42:56.879,5.0000033,1.0215605,24.425001,,,
2024-08-19 09:42:56.937,4.999994,1.021569,24.423439,,,
2024-08-19 09:42:56.945,,,,0,1.0247954,25.889063
2024-08-19 09:42:57.003,,,,0,1.0247927,25.895313
2024-08-19 09:42:57.007,4.999957,1.0215698,24.423439,,,
2024-08-19 09:42:57.067,,,,0,1.0247906,25.896875
2024-08-19 09:42:57.069,4.9999804,1.0215727,24.426563,,,
2024-08-19 09:42:57.124,4.9999924,1.0215727,24.417189,,,
2024-08-19 09:42:57.132,,,,0,1.0247898,25.900002
2024-08-19 09:42:57.186,4.99996,1.0215667,24.428125,,,
2024-08-19 09:42:57.194,,,,0,1.0247915,25.895313
2024-08-19 09:42:57.249,5.0001435,1.021568,24.426563,,,
2024-08-19 09:42:57.258,,,,0,1.024787,25.900002
2024-08-19 09:42:57.310,5.0001335,1.0215672,24.428125,,,
2024-08-19 09:42:57.318,,,,0,1.0247872,25.898438
2024-08-19 09:42:57.373,5.0001264,1.0215656,24.425001,,,
2024-08-19 09:42:57.380,,,,0,1.0247923,25.901564
2024-08-19 09:42:57.436,4.9999814,1.0215716,24.420313,,,
2024-08-19 09:42:57.443,,,,0,1.0247972,25.892189
2024-08-19 09:42:57.501,,,,0,1.0248017,25.895313
2024-08-19 09:42:57.504,4.999934,1.0215826,24.429688,,,
2024-08-19 09:42:57.562,,,,0,1.0248001,25.896875
2024-08-19 09:42:57.566,4.999994,1.0215787,24.428125,,,
2024-08-19 09:42:57.626,,,,0,1.0247997,25.890625
2024-08-19 09:42:57.628,4.999994,1.0215849,24.420313,,,
2024-08-19 09:42:57.684,4.999947,1.0215764,24.41875,,,
2024-08-19 09:42:57.693,,,,0,1.0247948,25.895313
2024-08-19 09:42:57.745,4.999982,1.0215758,24.417189,,,
2024-08-19 09:42:57.755,,,,0,1.0247939,25.890625
2024-08-19 09:42:57.812,,,,0,1.0247948,25.898438
2024-08-19 09:42:57.814,5.000075,1.0215774,24.41875,,,
2024-08-19 09:42:57.871,5.0002675,1.0215825,24.423439,,,
2024-08-19 09:42:57.878,,,,0,1.0247906,25.895313
2024-08-19 09:42:57.937,5.000383,1.0215707,24.426563,,,
