TimeStamp,123M04971901FD: Flow (ln/min),123M04971901FD: Pressure outlet (bar(a)),123M04971901FD: Temperature (°C),123M05180215PI: Flow (ln/min),123M05180215PI: Pressure outlet (bar(a)),123M05180215PI: Temperature (°C)
2024-08-15 14:59:52.872,0,0.9949076,23.643751,,,
2024-08-15 14:59:52.925,0,0.9949066,23.6375,,,
2024-08-15 14:59:52.933,,,,0,0.99703753,25.298439
2024-08-15 14:59:52.994,,,,0,0.99703544,25.300001
2024-08-15 14:59:52.997,0,0.99491125,23.645313,,,
2024-08-15 14:59:53.051,0,0.9949158,23.642189,,,
2024-08-15 14:59:53.060,,,,0,0.9970367,25.300001
2024-08-15 14:59:53.117,,,,0,0.9970381,25.300001
2024-08-15 14:59:53.121,0,0.99491864,23.645313,,,
2024-08-15 14:59:53.175,0,0.9949139,23.640625,,,
2024-08-15 14:59:53.183,,,,0,0.99703777,25.296875
2024-08-15 14:59:53.240,,,,0,0.99703825,25.304688
2024-08-15 14:59:53.242,0,0.9949178,23.640625,,,
2024-08-15 14:59:53.298,0,0.99491566,23.643751,,,
2024-08-15 14:59:53.304,,,,0,0.997038,25.296875
2024-08-15 14:59:53.366,,,,0,0.9970365,25.301563
2024-08-15 14:59:53.368,0,0.99491286,23.639063,,,
2024-08-15 14:59:53.427,,,,0,0.997033,25.296875
2024-08-15 14:59:53.428,0,0.9949158,23.642189,,,
2024-08-15 14:59:53.491,,,,0,0.9970332,25.301563
2024-08-15 14:59:53.493,0,0.994922,23.639063,,,
2024-08-15 14:59:53.557,0,0.9949209,23.635939,,,
2024-08-15 14:59:53.560,,,,0,0.997033,25.296875
2024-08-15 14:59:53.611,0,0.9949209,23.648438,,,
2024-08-15 14:59:53.617,,,,0,0.997035,25.300001
2024-08-15 14:59:53.673,0,0.99491817,23.642189,,,
2024-08-15 14:59:53.683,,,,0,0.9970288,25.301563
2024-08-15 14:59:53.740,,,,0,0.9970269,25.295313
2024-08-15 14:59:53.742,0,0.9949177,23.640625,,,
2024-08-15 14:59:53.798,,,,0,0.99702823,25.296875
2024-08-15 14:59:53.801,0,0.99491966,23.640625,,,
2024-08-15 14:59:53.859,0,0.99491894,23.640625,,,
2024-08-15 14:59:53.866,,,,0,0.99702615,25.303125
2024-08-15 14:59:53.921,0,0.9949179,23.646875,,,
2024-08-15 14:59:53.931,,,,0,0.9970244,25.296875
2024-08-15 14:59:53.989,,,,0,0.99702924,25.296875
2024-08-15 14:59:53.991,0,0.9949162,23.642189,,,
2024-08-15 14:59:54.050,,,,0,0.9970297,25.298439
2024-08-15 14:59:54.052,0,0.9949169,23.635939,,,
2024-08-15 14:59:54.111,0,0.99492043,23.642189,,,
2024-08-15 14:59:54.118,,,,0,0.99702835,25.300001
2024-08-15 14:59:54.171,0,0.99492586,23.639063,,,
2024-08-15 14:59:54.181,,,,0,0.997031,25.290627
2024-08-15 14:59:54.232,0,0.9949264,23.642189,,,
2024-08-15 14:59:54.239,,,,0,0.9970315,25.298439
2024-08-15 14:59:54.296,0,0.994926,23.643751,,,
2024-08-15 14:59:54.304,,,,0,0.997032,25.298439
2024-08-15 14:59:54.358,0,0.99492437,23.642189,,,
2024-08-15 14:59:54.367,,,,0,0.9970316,25.298439
2024-08-15 14:59:54.428,,,,0,0.99703175,25.298439
2024-08-15 14:59:54.429,0,0.9949232,23.642189,,,
2024-08-15 14:59:54.483,0.015281096,0.99492586,23.642189,,,
2024-08-15 14:59:54.491,,,,0,0.9970412,25.300001
2024-08-15 14:59:54.550,,,,0,0.99718726,25.296875
2024-08-15 14:59:54.553,0.9769173,0.99509555,23.640625,,,
2024-08-15 14:59:54.614,,,,0,0.9974214,25.296875
2024-08-15 14:59:54.616,1.5209746,0.9953187,23.639063,,,
2024-08-15 14:59:54.675,,,,0,0.99763215,25.300001
2024-08-15 14:59:54.677,1.6717243,0.9955243,23.640625,,,
2024-08-15 14:59:54.731,1.6971649,0.9957061,23.643751,,,
2024-08-15 14:59:54.738,,,,0,0.9978471,25.300001
2024-08-15 14:59:54.800,,,,0,0.9980484,25.300001
2024-08-15 14:59:54.803,1.7003576,0.9959432,23.640625,,,
2024-08-15 14:59:54.861,,,,0,0.9982463,25.300001
2024-08-15 14:59:54.864,1.6996198,0.9961438,23.643751,,,
2024-08-15 14:59:54.917,1.6992693,0.996306,23.640625,,,
2024-08-15 14:59:54.926,,,,0,0.99844414,25.300001
2024-08-15 14:59:54.986,,,,0,0.99861854,25.298439
