UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1723112700,2024-08-08 12:25:00+0200,970.0,376.0,4923.0,26.311,4.198,0.019,9.207,-75.0
1723112640,2024-08-08 12:24:00+0200,974.0,377.0,,,,,,
1723112580,2024-08-08 12:23:00+0200,1681.0,511.0,,,,,,
1723112520,2024-08-08 12:22:00+0200,1695.0,513.0,,,,,,
1723112460,2024-08-08 12:21:00+0200,1695.0,513.0,,,,,,
1723112400,2024-08-08 12:20:00+0200,969.0,376.0,4883.0,26.311,4.199,0.02,9.207,-75.0
1723112340,2024-08-08 12:19:00+0200,970.0,376.0,,,,,,
1723112280,2024-08-08 12:18:00+0200,969.0,376.0,,,,,,
1723112220,2024-08-08 12:17:00+0200,970.0,376.0,,,,,,
1723112160,2024-08-08 12:16:00+0200,969.0,376.0,,,,,,
1723112100,2024-08-08 12:15:00+0200,493.0,239.0,4852.0,26.311,4.198,0.027,9.207,-75.0
1723112040,2024-08-08 12:14:00+0200,493.0,239.0,,,,,,
1723111980,2024-08-08 12:13:00+0200,493.0,239.0,,,,,,
1723111920,2024-08-08 12:12:00+0200,524.0,248.0,,,,,,
1723111860,2024-08-08 12:11:00+0200,970.0,376.0,,,,,,
1723111800,2024-08-08 12:10:00+0200,475.0,227.0,4828.0,26.311,4.199,0.02,9.207,-75.0
1723111740,2024-08-08 12:09:00+0200,493.0,240.0,,,,,,
1723111680,2024-08-08 12:08:00+0200,493.0,240.0,,,,,,
1723111620,2024-08-08 12:07:00+0200,493.0,240.0,,,,,,
1723111560,2024-08-08 12:06:00+0200,493.0,239.0,,,,,,
1723111500,2024-08-08 12:05:00+0200,254.0,152.0,4808.0,26.311,4.199,0.019,9.207,-75.0
1723111440,2024-08-08 12:04:00+0200,254.0,152.0,,,,,,
1723111380,2024-08-08 12:03:00+0200,254.0,153.0,,,,,,
1723111320,2024-08-08 12:02:00+0200,254.0,153.0,,,,,,
1723111260,2024-08-08 12:01:00+0200,254.0,154.0,,,,,,
1723111200,2024-08-08 12:00:00+0200,2027.0,549.0,4795.0,26.311,4.199,0.021,9.207,-75.0
1723111140,2024-08-08 11:59:00+0200,2027.0,549.0,,,,,,
1723111080,2024-08-08 11:58:00+0200,1928.0,532.0,,,,,,
1723111020,2024-08-08 11:57:00+0200,288.0,164.0,,,,,,
1723110960,2024-08-08 11:56:00+0200,254.0,152.0,,,,,,
1723110900,2024-08-08 11:55:00+0200,2028.0,549.0,4766.0,26.311,4.199,0.019,9.207,-73.0
1723110840,2024-08-08 11:54:00+0200,2027.0,550.0,,,,,,
1723110780,2024-08-08 11:53:00+0200,2027.0,549.0,,,,,,
1723110720,2024-08-08 11:52:00+0200,2027.0,549.0,,,,,,
1723110660,2024-08-08 11:51:00+0200,2027.0,549.0,,,,,,
1723110600,2024-08-08 11:50:00+0200,1093.0,405.0,4720.0,26.311,4.199,0.019,9.207,-73.0
1723110540,2024-08-08 11:49:00+0200,1093.0,405.0,,,,,,
1723110480,2024-08-08 11:48:00+0200,1093.0,405.0,,,,,,
1723110420,2024-08-08 11:47:00+0200,1093.0,405.0,,,,,,
1723110360,2024-08-08 11:46:00+0200,1155.0,415.0,,,,,,
1723110300,2024-08-08 11:45:00+0200,555.0,256.0,4685.0,26.721,4.193,0.023,9.199,-73.0
1723110240,2024-08-08 11:44:00+0200,784.0,319.0,,,,,,
1723110180,2024-08-08 11:43:00+0200,1093.0,406.0,,,,,,
1723110120,2024-08-08 11:42:00+0200,1093.0,405.0,,,,,,
1723110060,2024-08-08 11:41:00+0200,1092.0,405.0,,,,,,
1723110000,2024-08-08 11:40:00+0200,555.0,257.0,4653.0,26.311,4.198,0.02,9.207,-73.0
1723109940,2024-08-08 11:39:00+0200,555.0,257.0,,,,,,
1723109880,2024-08-08 11:38:00+0200,555.0,257.0,,,,,,
1723109820,2024-08-08 11:37:00+0200,555.0,256.0,,,,,,
1723109760,2024-08-08 11:36:00+0200,555.0,256.0,,,,,,
1723109700,2024-08-08 11:35:00+0200,285.0,162.0,4632.0,26.311,4.198,0.02,9.205,-73.0
1723109640,2024-08-08 11:34:00+0200,285.0,163.0,,,,,,
1723109580,2024-08-08 11:33:00+0200,285.0,163.0,,,,,,
1723109520,2024-08-08 11:32:00+0200,285.0,163.0,,,,,,
1723109460,2024-08-08 11:31:00+0200,503.0,239.0,,,,,,
1723109400,2024-08-08 11:30:00+0200,2312.0,576.0,4616.0,27.131,4.197,0.023,9.207,-73.0
1723109340,2024-08-08 11:29:00+0200,1454.0,403.0,,,,,,
1723109280,2024-08-08 11:28:00+0200,285.0,161.0,,,,,,
1723109220,2024-08-08 11:27:00+0200,285.0,161.0,,,,,,
1723109160,2024-08-08 11:26:00+0200,285.0,162.0,,,,,,
1723109100,2024-08-08 11:25:00+0200,2303.0,576.0,4595.0,26.311,4.198,0.02,9.207,-77.0
1723109040,2024-08-08 11:24:00+0200,2308.0,576.0,,,,,,
1723108980,2024-08-08 11:23:00+0200,2310.0,576.0,,,,,,
1723108920,2024-08-08 11:22:00+0200,2309.0,576.0,,,,,,
1723108860,2024-08-08 11:21:00+0200,2310.0,576.0,,,,,,
1723108800,2024-08-08 11:20:00+0200,29.0,0.0,4547.0,26.311,4.199,0.02,9.207,-77.0
1723108740,2024-08-08 11:19:00+0200,29.0,0.0,,,,,,
1723108680,2024-08-08 11:18:00+0200,27.0,0.0,,,,,,
1723108620,2024-08-08 11:17:00+0200,886.0,282.0,,,,,,
1723108560,2024-08-08 11:16:00+0200,2365.0,580.0,,,,,,
1723108500,2024-08-08 11:15:00+0200,46.0,0.0,4528.0,26.311,4.199,0.023,9.207,-77.0
1723108440,2024-08-08 11:14:00+0200,47.0,0.0,,,,,,
1723108380,2024-08-08 11:13:00+0200,198.0,0.0,,,,,,
1723108320,2024-08-08 11:12:00+0200,26.0,0.0,,,,,,
1723108260,2024-08-08 11:11:00+0200,29.0,0.0,,,,,,
1723108200,2024-08-08 11:10:00+0200,35.0,0.0,4528.0,26.311,4.199,0.019,9.207,-75.0
1723108140,2024-08-08 11:09:00+0200,35.0,0.0,,,,,,
1723108080,2024-08-08 11:08:00+0200,36.0,0.0,,,,,,
1723108020,2024-08-08 11:07:00+0200,34.0,0.0,,,,,,
1723107960,2024-08-08 11:06:00+0200,46.0,0.0,,,,,,
1723107900,2024-08-08 11:05:00+0200,1893.0,516.0,4528.0,26.311,4.198,0.019,9.207,-75.0
1723107840,2024-08-08 11:04:00+0200,697.0,200.0,,,,,,
1723107780,2024-08-08 11:03:00+0200,36.0,0.0,,,,,,
1723107720,2024-08-08 11:02:00+0200,36.0,0.0,,,,,,
1723107660,2024-08-08 11:01:00+0200,35.0,0.0,,,,,,
1723107600,2024-08-08 11:00:00+0200,1260.0,430.0,4519.0,26.311,4.198,0.029,9.207,-75.0
1723107540,2024-08-08 10:59:00+0200,1260.0,430.0,,,,,,
1723107480,2024-08-08 10:58:00+0200,1262.0,430.0,,,,,,
1723107420,2024-08-08 10:57:00+0200,1265.0,430.0,,,,,,
1723107360,2024-08-08 10:56:00+0200,1274.0,430.0,,,,,,
1723107300,2024-08-08 10:55:00+0200,617.0,271.0,4483.0,26.311,4.196,0.019,9.199,-73.0
1723107240,2024-08-08 10:54:00+0200,614.0,271.0,,,,,,
1723107180,2024-08-08 10:53:00+0200,617.0,272.0,,,,,,
1723107120,2024-08-08 10:52:00+0200,806.0,317.0,,,,,,
1723107060,2024-08-08 10:51:00+0200,1278.0,430.0,,,,,,
1723107000,2024-08-08 10:50:00+0200,316.0,145.0,4456.0,26.311,4.198,0.02,9.207,-73.0
1723106940,2024-08-08 10:49:00+0200,415.0,180.0,,,,,,
1723106880,2024-08-08 10:48:00+0200,617.0,253.0,,,,,,
1723106820,2024-08-08 10:47:00+0200,617.0,265.0,,,,,,
1723106760,2024-08-08 10:46:00+0200,617.0,269.0,,,,,,
1723106700,2024-08-08 10:45:00+0200,316.0,132.0,4437.0,26.311,4.193,0.023,9.199,-73.0
1723106640,2024-08-08 10:44:00+0200,315.0,132.0,,,,,,
1723106580,2024-08-08 10:43:00+0200,315.0,133.0,,,,,,
1723106520,2024-08-08 10:42:00+0200,316.0,137.0,,,,,,
1723106460,2024-08-08 10:41:00+0200,316.0,141.0,,,,,,
1723106400,2024-08-08 10:40:00+0200,36.0,0.0,4425.0,26.311,4.198,0.02,9.207,-81.0
1723106340,2024-08-08 10:39:00+0200,36.0,0.0,,,,,,
1723106280,2024-08-08 10:38:00+0200,36.0,0.0,,,,,,
1723106220,2024-08-08 10:37:00+0200,310.0,126.0,,,,,,
1723106160,2024-08-08 10:36:00+0200,316.0,133.0,,,,,,
1723106100,2024-08-08 10:35:00+0200,35.0,0.0,,26.311,4.198,0.02,9.207,-81.0
1723105800,2024-08-08 10:30:00+0200,47.0,0.0,4420.0,26.311,4.198,0.019,9.207,-81.0
1723105740,2024-08-08 10:29:00+0200,47.0,0.0,,,,,,
1723105680,2024-08-08 10:28:00+0200,47.0,0.0,,,,,,
1723105620,2024-08-08 10:27:00+0200,47.0,0.0,,,,,,
1723105560,2024-08-08 10:26:00+0200,39.0,0.0,,,,,,
1723105500,2024-08-08 10:25:00+0200,47.0,0.0,4420.0,27.541,4.198,0.113,9.207,-81.0
1723105440,2024-08-08 10:24:00+0200,46.0,0.0,,,,,,
1723105401,2024-08-08 10:23:21+0200,47.0,0.0,4420.0,26.311,4.178,0.242,9.165,-81.0
1723105341,2024-08-08 10:22:21+0200,47.0,0.0,,,,,,
1723105281,2024-08-08 10:21:21+0200,47.0,0.0,,,,,,
1723105221,2024-08-08 10:20:21+0200,47.0,0.0,,,,,,
1723105161,2024-08-08 10:19:21+0200,47.0,0.0,,,,,,
1723105101,2024-08-08 10:18:21+0200,47.0,0.0,,,,,,
1723105041,2024-08-08 10:17:21+0200,47.0,0.0,,,,,,
1723104981,2024-08-08 10:16:21+0200,47.0,0.0,,,,,,
1723104921,2024-08-08 10:15:21+0200,47.0,0.0,,,,,,
1723104861,2024-08-08 10:14:21+0200,47.0,0.0,,,,,,
