UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1723539960,2024-08-13 11:06:00+0200,2037.0,549.0,,,,,,
1723539900,2024-08-13 11:05:00+0200,1094.0,405.0,5445.0,25.082,4.198,0.017,9.205,-75.0
1723539840,2024-08-13 11:04:00+0200,1094.0,405.0,,,,,,
1723539780,2024-08-13 11:03:00+0200,1094.0,405.0,,,,,,
1723539720,2024-08-13 11:02:00+0200,1094.0,405.0,,,,,,
1723539660,2024-08-13 11:01:00+0200,1443.0,458.0,,,,,,
1723539600,2024-08-13 11:00:00+0200,565.0,256.0,5410.0,25.492,4.197,0.023,9.207,-75.0
1723539540,2024-08-13 10:59:00+0200,565.0,255.0,,,,,,
1723539480,2024-08-13 10:58:00+0200,633.0,274.0,,,,,,
1723539420,2024-08-13 10:57:00+0200,1094.0,405.0,,,,,,
1723539360,2024-08-13 10:56:00+0200,1094.0,405.0,,,,,,
1723539300,2024-08-13 10:55:00+0200,565.0,257.0,5383.0,25.082,4.197,0.019,9.205,-81.0
1723539240,2024-08-13 10:54:00+0200,565.0,256.0,,,,,,
1723539180,2024-08-13 10:53:00+0200,565.0,256.0,,,,,,
1723539120,2024-08-13 10:52:00+0200,565.0,256.0,,,,,,
1723539060,2024-08-13 10:51:00+0200,565.0,255.0,,,,,,
1723539000,2024-08-13 10:50:00+0200,295.0,163.0,5362.0,25.082,4.198,0.019,9.205,-81.0
1723538940,2024-08-13 10:49:00+0200,295.0,163.0,,,,,,
1723538880,2024-08-13 10:48:00+0200,296.0,163.0,,,,,,
1723538820,2024-08-13 10:47:00+0200,468.0,223.0,,,,,,
1723538760,2024-08-13 10:46:00+0200,565.0,257.0,,,,,,
1723538700,2024-08-13 10:45:00+0200,2339.0,576.0,5345.0,25.492,4.198,0.02,9.205,-81.0
1723538640,2024-08-13 10:44:00+0200,514.0,207.0,,,,,,
1723538580,2024-08-13 10:43:00+0200,295.0,160.0,,,,,,
1723538520,2024-08-13 10:42:00+0200,296.0,161.0,,,,,,
1723538460,2024-08-13 10:41:00+0200,296.0,161.0,,,,,,
1723538400,2024-08-13 10:40:00+0200,2339.0,577.0,5331.0,25.492,4.198,0.019,9.207,-79.0
1723538340,2024-08-13 10:39:00+0200,2340.0,576.0,,,,,,
1723538280,2024-08-13 10:38:00+0200,2339.0,577.0,,,,,,
1723538220,2024-08-13 10:37:00+0200,2339.0,576.0,,,,,,
1723538160,2024-08-13 10:36:00+0200,2337.0,576.0,,,,,,
1723538100,2024-08-13 10:35:00+0200,1300.0,430.0,5283.0,25.492,4.198,0.018,9.207,-79.0
1723538040,2024-08-13 10:34:00+0200,1301.0,430.0,,,,,,
1723537980,2024-08-13 10:33:00+0200,1299.0,429.0,,,,,,
1723537920,2024-08-13 10:32:00+0200,1834.0,505.0,,,,,,
1723537860,2024-08-13 10:31:00+0200,2340.0,576.0,,,,,,
1723537800,2024-08-13 10:30:00+0200,778.0,309.0,5241.0,25.492,4.198,0.023,9.205,-79.0
1723537740,2024-08-13 10:29:00+0200,1300.0,429.0,,,,,,
1723537680,2024-08-13 10:28:00+0200,1300.0,429.0,,,,,,
1723537620,2024-08-13 10:27:00+0200,1297.0,429.0,,,,,,
1723537560,2024-08-13 10:26:00+0200,1301.0,430.0,,,,,,
