UNIX Timestamp,Local Time,Pressure (Pa),Flow (lph),Gas Consumption (l),Temperature (°C),Battery Voltage (V),Battery Current (A),Solar Voltage (V),RSSI (dB)
1722009000,2024-07-26 17:50:00+0200,1095.0,429.0,4395.0,27.131,4.2,0.021,9.213,-69.0
1722008940,2024-07-26 17:49:00+0200,1090.0,434.0,,,,,,
1722008880,2024-07-26 17:48:00+0200,1093.0,435.0,,,,,,
1722008820,2024-07-26 17:47:00+0200,1133.0,445.0,,,,,,
1722008760,2024-07-26 17:46:00+0200,1142.0,448.0,,,,,,
1722008700,2024-07-26 17:45:00+0200,1154.0,450.0,4359.0,27.541,4.199,0.029,9.21,-69.0
1722008640,2024-07-26 17:44:00+0200,1155.0,451.0,,,,,,
1722008580,2024-07-26 17:43:00+0200,1155.0,451.0,,,,,,
1722008520,2024-07-26 17:42:00+0200,1156.0,451.0,,,,,,
1722008460,2024-07-26 17:41:00+0200,1156.0,452.0,,,,,,
1722008397,2024-07-26 17:39:57+0200,1156.0,451.0,4321.0,27.951,4.2,0.063,9.213,-69.0
1722008337,2024-07-26 17:38:57+0200,1155.0,451.0,,,,,,
1722008277,2024-07-26 17:37:57+0200,1025.0,398.0,,,,,,
1722008217,2024-07-26 17:36:57+0200,181.0,133.0,,,,,,
1722008157,2024-07-26 17:35:57+0200,181.0,132.0,,,,,,
1722008100,2024-07-26 17:35:00+0200,190.0,131.0,4291.0,27.131,4.199,0.023,9.21,-69.0
1722008040,2024-07-26 17:34:00+0200,201.0,130.0,,,,,,
1722007980,2024-07-26 17:33:00+0200,202.0,129.0,,,,,,
1722007920,2024-07-26 17:32:00+0200,201.0,128.0,,,,,,
1722007860,2024-07-26 17:31:00+0200,203.0,129.0,,,,,,
1722007800,2024-07-26 17:30:00+0200,1623.0,500.0,4281.0,27.131,4.199,0.021,9.21,-69.0
1722007740,2024-07-26 17:29:00+0200,1684.0,513.0,,,,,,
1722007680,2024-07-26 17:28:00+0200,1683.0,513.0,,,,,,
1722007620,2024-07-26 17:27:00+0200,1684.0,513.0,,,,,,
1722007560,2024-07-26 17:26:00+0200,1684.0,513.0,,,,,,
1722007497,2024-07-26 17:24:57+0200,1684.0,513.0,4242.0,27.541,4.199,0.062,9.213,-69.0
1722007437,2024-07-26 17:23:57+0200,1683.0,513.0,,,,,,
1722007377,2024-07-26 17:22:57+0200,1685.0,512.0,,,,,,
1722007317,2024-07-26 17:21:57+0200,1064.0,395.0,,,,,,
1722007257,2024-07-26 17:20:57+0200,967.0,375.0,,,,,,
1722007200,2024-07-26 17:20:00+0200,968.0,376.0,4202.0,26.721,4.195,0.023,9.204,-69.0
1722007140,2024-07-26 17:19:00+0200,968.0,375.0,,,,,,
1722007080,2024-07-26 17:18:00+0200,964.0,376.0,,,,,,
1722007020,2024-07-26 17:17:00+0200,967.0,376.0,,,,,,
1722006960,2024-07-26 17:16:00+0200,966.0,376.0,,,,,,
1722006900,2024-07-26 17:15:00+0200,963.0,376.0,4170.0,27.131,4.199,0.022,9.213,-69.0
1722006840,2024-07-26 17:14:00+0200,959.0,375.0,,,,,,
1722006780,2024-07-26 17:13:00+0200,950.0,373.0,,,,,,
1722006720,2024-07-26 17:12:00+0200,494.0,239.0,,,,,,
1722006660,2024-07-26 17:11:00+0200,484.0,238.0,,,,,,
1722006597,2024-07-26 17:09:57+0200,472.0,238.0,4142.0,27.541,4.199,0.061,9.21,-69.0
1722006537,2024-07-26 17:08:57+0200,471.0,238.0,,,,,,
1722006477,2024-07-26 17:07:57+0200,474.0,238.0,,,,,,
1722006417,2024-07-26 17:06:57+0200,480.0,238.0,,,,,,
1722006357,2024-07-26 17:05:57+0200,481.0,239.0,,,,,,
1722006300,2024-07-26 17:05:00+0200,480.0,238.0,4122.0,27.131,4.199,0.022,9.213,-69.0
1722006240,2024-07-26 17:04:00+0200,290.0,169.0,,,,,,
1722006180,2024-07-26 17:03:00+0200,243.0,152.0,,,,,,
1722006120,2024-07-26 17:02:00+0200,242.0,152.0,,,,,,
1722006060,2024-07-26 17:01:00+0200,242.0,152.0,,,,,,
1722006000,2024-07-26 17:00:00+0200,240.0,150.0,4107.0,27.131,4.2,0.019,9.21,-69.0
1722005940,2024-07-26 16:59:00+0200,240.0,150.0,,,,,,
1722005880,2024-07-26 16:58:00+0200,239.0,150.0,,,,,,
1722005820,2024-07-26 16:57:00+0200,56.0,17.0,,,,,,
1722005760,2024-07-26 16:56:00+0200,1871.0,514.0,,,,,,
1722005698,2024-07-26 16:54:58+0200,2012.0,548.0,4094.0,27.951,4.199,0.061,9.213,-69.0
1722005638,2024-07-26 16:53:58+0200,2014.0,548.0,,,,,,
1722005578,2024-07-26 16:52:58+0200,2013.0,548.0,,,,,,
1722005518,2024-07-26 16:51:58+0200,2012.0,548.0,,,,,,
1722005458,2024-07-26 16:50:58+0200,2015.0,548.0,,,,,,
1722005400,2024-07-26 16:50:00+0200,2015.0,548.0,4048.0,27.131,4.2,0.02,9.213,-69.0
1722005340,2024-07-26 16:49:00+0200,1241.0,431.0,,,,,,
1722005280,2024-07-26 16:48:00+0200,1079.0,405.0,,,,,,
1722005220,2024-07-26 16:47:00+0200,1084.0,405.0,,,,,,
1722005160,2024-07-26 16:46:00+0200,1083.0,405.0,,,,,,
1722005100,2024-07-26 16:45:00+0200,1084.0,405.0,4010.0,27.131,4.199,0.02,9.213,-69.0
1722005040,2024-07-26 16:44:00+0200,1083.0,405.0,,,,,,
1722004980,2024-07-26 16:43:00+0200,1083.0,405.0,,,,,,
1722004920,2024-07-26 16:42:00+0200,1082.0,405.0,,,,,,
1722004860,2024-07-26 16:41:00+0200,1083.0,404.0,,,,,,
1722004797,2024-07-26 16:39:57+0200,756.0,313.0,3976.0,27.541,4.2,0.062,9.213,-69.0
1722004737,2024-07-26 16:38:57+0200,543.0,254.0,,,,,,
1722004677,2024-07-26 16:37:57+0200,542.0,254.0,,,,,,
1722004617,2024-07-26 16:36:57+0200,548.0,254.0,,,,,,
1722004557,2024-07-26 16:35:57+0200,552.0,254.0,,,,,,
1722004500,2024-07-26 16:35:00+0200,554.0,255.0,3953.0,27.131,4.199,0.021,9.213,-71.0
1722004440,2024-07-26 16:34:00+0200,552.0,254.0,,,,,,
1722004380,2024-07-26 16:33:00+0200,436.0,214.0,,,,,,
1722004320,2024-07-26 16:32:00+0200,282.0,160.0,,,,,,
1722004260,2024-07-26 16:31:00+0200,281.0,159.0,,,,,,
1722004200,2024-07-26 16:30:00+0200,276.0,161.0,3935.0,27.131,4.199,0.021,9.213,-71.0
1722004140,2024-07-26 16:29:00+0200,273.0,161.0,,,,,,
1722004080,2024-07-26 16:28:00+0200,273.0,162.0,,,,,,
1722004020,2024-07-26 16:27:00+0200,272.0,162.0,,,,,,
1722003960,2024-07-26 16:26:00+0200,273.0,161.0,,,,,,
